epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.304723,0.425865,0.255574,0.596157,1.361080,0.415367,0.200334,0.630400,0.496621,0.000000,1.000000,0.000000,0.994094,0.000000,0.935216,0.156863,0.897770,0.434783,0.560606,0.676471,0.712871,1.000000,0.043760,0.661538,0.259130,0.285714,0.507109,0.000000,1.000000,0.000000,0.859843,0.000000,1.000000,1.000000,0.007042,1.000000,0.000000,0.500000,0.404389,0.000000,0.962264,0.230769,0.856678,0.000000,1.000000,0.500000,0.232704,0.000000,1.000000,0.000000,0.738245,0.000000,1.000000,0.214286,0.595847,1.000000,0.000000,0.600000,0.233071,1.000000,0.000000,0.000000,0.841444,0.000000,0.982759,0.047619,0.983845
1,1.325842,0.557246,0.440914,0.673577,1.344318,0.624258,0.530050,0.718466,0.596336,0.474308,0.544776,0.681818,0.547244,0.789474,0.360465,0.833333,0.412639,0.695652,0.436027,0.588235,0.603960,0.521739,0.573744,0.215385,0.850435,0.000000,0.996840,0.235294,0.882825,0.000000,0.962205,0.272727,0.866455,0.861111,0.220070,0.250000,0.689873,0.000000,0.998433,0.250000,0.982704,0.076923,0.768730,0.619048,0.591276,0.000000,1.000000,0.000000,0.984252,0.000000,0.800940,0.000000,0.982650,0.285714,0.912141,0.818182,0.383148,0.600000,0.771654,0.500000,0.657729,0.666666,0.100471,0.000000,0.990596,0.190476,0.659128
2,1.288631,0.559283,0.474916,0.643650,1.322668,0.593877,0.525042,0.662712,0.651953,0.341897,0.828358,0.651515,0.698819,0.921053,0.300664,0.862745,0.604089,0.521739,0.589226,0.558824,0.858086,0.869565,0.286872,0.569231,0.613913,0.142857,0.973144,0.058824,0.953451,0.000000,0.828346,0.818182,0.464229,0.805556,0.269366,0.500000,0.496835,0.500000,0.970219,0.500000,0.816038,0.730769,0.317590,0.619048,0.806139,0.250000,0.811321,0.000000,0.984252,1.000000,0.725705,0.833333,0.640379,0.357143,0.924920,0.727273,0.580286,0.800000,0.719685,0.833333,0.570978,0.666666,0.164835,0.000000,0.920063,0.333333,0.552504
3,1.257530,0.571325,0.483278,0.659372,1.300480,0.693416,0.703673,0.683159,0.707431,0.701581,0.746269,0.727273,0.690945,0.815789,0.528239,0.882353,0.710037,0.195652,0.851852,0.882353,0.780528,0.913043,0.364668,0.815385,0.586087,0.142857,0.864139,0.176471,0.817014,0.000000,0.814173,1.000000,0.503975,0.888889,0.147887,0.625000,0.680380,1.000000,0.617555,0.500000,0.882075,0.461538,0.397394,0.761905,0.760905,0.250000,0.779874,0.600000,0.925984,0.500000,0.721003,0.666667,0.899054,0.785714,0.867412,0.818182,0.578696,0.800000,0.686614,0.833333,0.586751,0.333333,0.271586,0.000000,0.976489,0.142857,0.759289
4,1.229167,0.641723,0.586678,0.696767,1.280007,0.690975,0.731219,0.650731,0.738656,0.747036,0.843284,0.568182,0.771654,0.894737,0.553156,0.833333,0.797398,0.565217,0.592593,1.000000,0.745875,0.782609,0.653160,0.723077,0.678261,0.428571,0.778831,0.058824,0.974318,1.000000,0.322835,0.818182,0.715421,0.875000,0.221831,0.750000,0.637658,1.000000,0.214734,1.000000,0.693396,0.807692,0.368078,0.857143,0.697900,0.000000,0.985849,0.800000,0.814173,1.000000,0.673981,0.666667,0.864353,0.928571,0.683706,0.818182,0.233704,0.600000,0.757480,1.000000,0.511041,0.000000,0.687598,0.000000,0.910658,0.285714,0.634895
5,1.179061,0.663686,0.651338,0.676035,1.228570,0.697463,0.699499,0.695427,0.764881,0.654150,0.940299,0.712121,0.698819,0.868421,0.632890,0.872549,0.732342,0.347826,0.727273,1.000000,0.745875,0.869565,0.580227,0.815385,0.596522,0.142857,0.917851,0.352941,0.842697,0.400000,0.725984,0.818182,0.734499,0.833333,0.461268,0.750000,0.678797,1.000000,0.625392,0.750000,0.775157,0.500000,0.589577,0.857143,0.686591,0.000000,0.878931,0.800000,0.716535,1.000000,0.570533,0.833333,0.821767,0.785714,0.884984,0.818182,0.639110,0.800000,0.851969,1.000000,0.473186,0.333333,0.485086,0.500000,0.731975,0.238095,0.584814
6,1.123777,0.686168,0.669732,0.702603,1.177669,0.725862,0.742070,0.709653,0.778866,0.717391,0.917910,0.742424,0.657480,0.868421,0.696013,0.882353,0.739777,0.760870,0.535354,0.970588,0.762376,0.869565,0.565640,0.861538,0.603478,0.428571,0.578199,0.470588,0.760835,0.200000,0.814173,0.909091,0.696343,0.708333,0.482394,0.625000,0.805380,1.000000,0.669279,1.000000,0.783019,0.538462,0.524430,0.857143,0.739903,0.000000,0.864780,0.800000,0.655118,1.000000,0.667712,0.666667,0.843849,0.785714,0.902556,0.727273,0.731320,0.800000,0.826772,1.000000,0.490536,0.000000,0.868132,0.500000,0.810345,0.238095,0.694669
7,1.081633,0.702779,0.709309,0.696249,1.130798,0.727974,0.759599,0.696348,0.797583,0.756917,0.917910,0.719697,0.706693,0.868421,0.589701,0.882353,0.756506,0.543478,0.685185,1.000000,0.689769,0.869565,0.500810,0.876923,0.603478,0.428571,0.597156,0.411765,0.778491,0.400000,0.694488,1.000000,0.697933,0.736111,0.475352,0.625000,0.707278,1.000000,0.648903,0.750000,0.801887,0.692308,0.467427,0.857143,0.754443,0.000000,0.897799,0.800000,0.741732,1.000000,0.736677,0.833333,0.769716,0.857143,0.873802,0.818182,0.686804,0.800000,0.759055,0.833333,0.569401,0.333333,0.902669,0.500000,0.769592,0.380952,0.547658
8,1.024661,0.724848,0.728818,0.720878,1.087065,0.746303,0.763773,0.728833,0.810029,0.737154,0.917910,0.810606,0.665354,0.842105,0.687708,0.911765,0.736059,0.565217,0.676768,1.000000,0.770627,0.869565,0.554295,0.815385,0.657391,0.428571,0.834123,0.411765,0.792937,0.200000,0.869291,0.818182,0.780604,0.791667,0.448944,1.000000,0.688291,1.000000,0.789969,1.000000,0.746855,0.653846,0.504886,0.857143,0.825525,0.000000,0.649371,0.800000,0.820472,1.000000,0.750784,0.833333,0.842271,0.857143,0.864217,0.727273,0.747218,0.800000,0.688189,0.666667,0.627760,0.333333,0.833595,0.500000,0.846395,0.476190,0.605816
9,0.961505,0.737975,0.737179,0.738770,1.072027,0.761666,0.767947,0.755385,0.823031,0.760870,0.917910,0.856061,0.688976,0.842105,0.715947,0.921569,0.717472,0.456522,0.710438,1.000000,0.744224,0.869565,0.630470,0.784615,0.716522,0.428571,0.751975,0.529412,0.741573,0.600000,0.796850,0.909091,0.788553,0.666667,0.563380,0.875000,0.740506,1.000000,0.741379,0.750000,0.828616,0.692308,0.477199,0.857143,0.849758,0.000000,0.933962,0.800000,0.907087,1.000000,0.774295,0.833333,0.826498,0.928571,0.819489,0.818182,0.688394,0.800000,0.765354,0.666667,0.671924,0.666666,0.805338,0.500000,0.824451,0.238095,0.838449
