epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.299211,0.543080,0.525920,0.560240,1.344727,0.534319,0.479132,0.589506,0.535035,0.571146,0.753731,0.212121,0.627953,0.157895,0.943522,0.754902,0.079926,0.000000,0.979798,0.500000,0.455446,0.260870,0.820097,0.769231,0.450435,0.000000,0.985782,0.000000,0.988764,0.200000,0.918110,1.000000,0.042925,0.388889,0.734155,1.000000,0.121835,1.000000,0.112853,0.000000,0.998428,0.615385,0.648208,0.380952,0.830372,0.250000,0.886792,0.000000,0.974803,1.000000,0.119122,0.666667,0.266562,0.000000,1.000000,0.909091,0.228935,0.800000,0.003150,0.333333,0.511041,1.000000,0.000000,0.000000,0.785266,0.047619,0.957997
1,1.296571,0.630386,0.540412,0.720360,1.345008,0.687199,0.578464,0.795934,0.577694,0.721344,0.522388,0.522727,0.750000,0.394737,0.659468,0.705882,0.522305,0.000000,0.988215,0.764706,0.711221,0.304348,0.755267,0.738462,0.500870,0.142857,0.840442,0.000000,0.988764,0.000000,0.990551,0.636364,0.484897,0.819444,0.288732,0.875000,0.767405,0.000000,0.985893,0.250000,0.987421,0.153846,0.846906,0.000000,0.938611,0.000000,1.000000,0.000000,0.976378,0.000000,0.785266,0.333333,0.853312,0.000000,0.968051,0.545454,0.524642,0.200000,0.500787,0.000000,0.933754,0.000000,0.748823,0.000000,0.998433,0.142857,0.922456
2,1.284002,0.638812,0.523133,0.754492,1.334352,0.680310,0.545910,0.814710,0.656055,0.616601,0.746269,0.431818,0.870079,0.394737,0.785714,0.745098,0.602230,0.108696,0.937710,0.911765,0.765677,0.565217,0.588331,0.800000,0.582609,0.142857,0.797788,0.000000,0.961477,0.000000,0.960630,0.818182,0.364070,0.722222,0.369718,0.750000,0.854430,0.000000,0.998433,0.250000,0.987421,0.076923,0.903909,0.142857,0.886914,0.000000,1.000000,0.200000,0.982677,0.000000,0.871473,0.500000,0.888013,0.214286,0.955272,0.454545,0.629571,0.600000,0.696063,0.166667,0.862776,0.000000,0.764521,0.000000,0.992163,0.142857,0.877221
3,1.267987,0.633587,0.501951,0.765223,1.322799,0.654751,0.490818,0.818684,0.700712,0.343874,0.962687,0.628788,0.812992,0.631579,0.729236,0.784314,0.708178,0.195652,0.867003,0.970588,0.782178,0.869565,0.589951,0.892308,0.561739,0.142857,0.753555,0.058824,0.918138,0.000000,0.970079,0.727273,0.600954,0.652778,0.431338,0.875000,0.832278,0.000000,0.993730,0.250000,0.966981,0.192308,0.895765,0.714286,0.770598,0.000000,1.000000,0.800000,0.933858,0.000000,0.852665,0.666667,0.832808,0.500000,0.923323,0.181818,0.726550,0.400000,0.790551,0.000000,0.916404,0.000000,0.836735,0.000000,0.981191,0.142857,0.820679
4,1.246023,0.631295,0.505295,0.757295,1.298035,0.683700,0.579299,0.788100,0.748722,0.448617,0.970149,0.727273,0.793307,0.736842,0.725914,0.774510,0.721190,0.347826,0.755892,0.941176,0.806931,0.869565,0.667747,0.846154,0.657391,0.285714,0.639810,0.352941,0.861958,0.000000,0.974803,0.909091,0.465819,0.777778,0.346831,0.750000,0.862342,0.000000,0.995298,0.250000,0.908805,0.269231,0.856678,0.714286,0.865913,0.000000,0.998428,0.800000,0.918110,0.000000,0.901254,0.666667,0.804416,0.714286,0.832268,0.545454,0.640700,0.600000,0.806299,0.166667,0.780757,0.666666,0.766091,0.500000,0.899687,0.333333,0.694669
5,1.218857,0.645345,0.554627,0.736063,1.274357,0.687118,0.614357,0.759878,0.754515,0.492095,0.977612,0.681818,0.811024,0.736842,0.715947,0.803922,0.704461,0.500000,0.676768,1.000000,0.757426,0.913043,0.635332,0.876923,0.692174,0.285714,0.704581,0.588235,0.789727,0.000000,0.911811,0.909091,0.542130,0.722222,0.399648,0.875000,0.841772,0.000000,0.962382,0.500000,0.858491,0.423077,0.646580,0.761905,0.798061,0.000000,0.992138,0.800000,0.902362,0.500000,0.896552,0.833333,0.760252,0.714286,0.806709,0.727273,0.607313,0.800000,0.702362,0.166667,0.711356,0.333333,0.808477,0.500000,0.827586,0.333333,0.704362
6,1.186946,0.674980,0.599498,0.750461,1.241866,0.713868,0.681970,0.745767,0.768177,0.604743,0.955224,0.750000,0.773622,0.789474,0.679402,0.852941,0.661710,0.456522,0.707071,1.000000,0.726073,0.956522,0.620746,0.892308,0.655652,0.285714,0.775671,0.705882,0.703050,0.600000,0.781102,0.818182,0.627981,0.722222,0.433099,0.875000,0.797468,0.000000,0.924765,0.750000,0.800314,0.615385,0.524430,0.761905,0.840065,0.000000,0.955975,0.600000,0.908661,1.000000,0.896552,0.833333,0.776025,0.785714,0.808307,0.363636,0.756757,0.800000,0.607874,0.333333,0.783912,0.666666,0.679749,0.500000,0.789969,0.285714,0.775444
7,1.139576,0.696573,0.640190,0.752956,1.202234,0.714096,0.691987,0.736206,0.767300,0.648221,0.962687,0.757576,0.746063,0.815789,0.666113,0.843137,0.697026,0.586957,0.585859,0.970588,0.745875,0.869565,0.628849,0.861538,0.695652,0.285714,0.703002,0.647059,0.661316,0.000000,0.932283,0.909091,0.655008,0.652778,0.480634,0.875000,0.799051,0.000000,0.956113,1.000000,0.770440,0.423077,0.721498,0.809524,0.781906,0.000000,0.949686,0.800000,0.870866,1.000000,0.772727,0.833333,0.763407,0.714286,0.733227,0.545454,0.656598,0.800000,0.603150,0.333333,0.668770,0.666666,0.692308,1.000000,0.735110,0.095238,0.841680
8,1.090526,0.717165,0.706522,0.727808,1.170373,0.721145,0.718698,0.723592,0.771545,0.701581,0.962687,0.757576,0.777559,0.868421,0.651163,0.843137,0.685874,0.391304,0.649832,1.000000,0.732673,0.913043,0.623987,0.892308,0.660870,0.285714,0.688784,0.647059,0.691814,0.400000,0.770079,0.818182,0.686804,0.680556,0.470070,1.000000,0.762658,0.000000,0.921630,1.000000,0.724843,0.538462,0.566775,0.809524,0.744750,0.000000,0.962264,0.600000,0.885039,1.000000,0.822884,0.833333,0.750789,0.714286,0.753994,0.636364,0.620032,0.800000,0.581102,0.500000,0.654574,0.666666,0.761381,0.500000,0.749216,0.142857,0.814216
9,1.039598,0.736172,0.732999,0.739346,1.139643,0.733756,0.730384,0.737127,0.780557,0.725296,0.947761,0.787879,0.753937,0.868421,0.677741,0.882353,0.687732,0.391304,0.654882,0.970588,0.783828,0.956522,0.628849,0.861538,0.739130,0.285714,0.755134,0.764706,0.658106,0.200000,0.867717,0.818182,0.740859,0.583333,0.570423,1.000000,0.764241,0.000000,0.880878,1.000000,0.712264,0.576923,0.560261,0.857143,0.749596,0.000000,0.948113,0.600000,0.862992,1.000000,0.810345,0.833333,0.755521,0.857143,0.723642,0.727273,0.634340,0.800000,0.617323,0.333333,0.689274,0.333333,0.747253,0.500000,0.744514,0.095238,0.838449
