epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.300723,0.539546,0.600056,0.479037,1.345029,0.545386,0.611853,0.478919,0.501259,0.766798,0.097015,0.000000,0.998031,0.842105,0.144518,0.813725,0.079926,0.978261,0.008418,0.500000,0.094059,0.434783,0.585089,0.015385,0.987826,0.285714,0.881517,0.176471,0.752809,1.000000,0.001575,0.000000,1.000000,1.000000,0.010563,0.750000,0.387658,0.500000,0.752351,0.750000,0.789308,0.000000,1.000000,0.190476,0.794830,0.750000,0.251572,0.600000,0.341732,1.000000,0.000000,0.500000,0.523659,1.000000,0.000000,1.000000,0.000000,0.800000,0.124409,0.000000,0.987382,0.000000,0.993721,0.000000,0.978056,1.000000,0.011309
1,1.831826,0.570706,0.483556,0.657855,1.345316,0.564224,0.320534,0.807914,0.633301,0.090909,0.947761,0.856061,0.559055,0.526316,0.651163,0.519608,0.637546,0.304348,0.799663,0.764706,0.739274,0.000000,0.996759,0.046154,0.984348,0.000000,0.984202,0.058824,0.967897,0.800000,0.637795,0.636364,0.473768,0.791667,0.153169,0.250000,0.905063,0.000000,1.000000,0.000000,0.979560,0.153846,0.918567,1.000000,0.025848,0.000000,1.000000,0.000000,0.984252,0.000000,0.945141,0.000000,0.995268,0.928571,0.238019,0.000000,0.979332,0.000000,0.959055,0.000000,0.970032,0.000000,0.968603,0.000000,1.000000,0.000000,0.983845
2,1.751854,0.531461,0.382107,0.680815,1.328766,0.524951,0.288815,0.761087,0.723791,0.033597,1.000000,0.348485,0.960630,0.078947,0.995017,0.411765,0.910781,0.478261,0.678451,0.852941,0.826733,0.260870,0.931929,0.184615,0.960000,0.285714,0.777251,0.647059,0.568218,1.000000,0.524409,0.909091,0.402226,0.875000,0.149648,0.250000,0.909810,0.000000,1.000000,0.250000,0.998428,0.807692,0.232899,0.952381,0.429725,0.000000,1.000000,0.400000,0.933858,0.500000,0.920063,1.000000,0.746057,0.928571,0.520767,0.272727,0.627981,0.200000,0.981102,1.000000,0.394322,0.000000,0.989011,0.000000,1.000000,0.095238,0.883683
3,1.707458,0.533444,0.383501,0.683387,1.305941,0.556335,0.425710,0.686960,0.741808,0.148221,0.992537,0.507576,0.942913,0.710526,0.727575,0.509804,0.927509,0.804348,0.368687,0.941176,0.772277,0.434783,0.854133,0.584615,0.902609,1.000000,0.055292,0.117647,0.886035,1.000000,0.177953,0.909091,0.575517,0.805556,0.214789,0.375000,0.718354,0.000000,0.984326,0.500000,0.977987,0.730769,0.356678,0.952381,0.400646,0.000000,1.000000,1.000000,0.692913,1.000000,0.684953,0.333333,0.905363,1.000000,0.361022,0.818182,0.465819,0.800000,0.894488,0.833333,0.580442,0.000000,0.993721,0.000000,1.000000,0.238095,0.770598
4,1.637699,0.562597,0.463768,0.661426,1.281823,0.604033,0.507513,0.700553,0.757957,0.272727,0.985075,0.651515,0.842520,0.894737,0.516611,0.696078,0.875465,0.543478,0.563973,0.941176,0.755776,0.739130,0.703404,0.615385,0.895652,0.428571,0.620853,0.294118,0.805778,1.000000,0.344882,0.909091,0.519873,0.791667,0.345070,0.875000,0.545886,0.000000,0.998433,0.500000,0.922956,0.346154,0.736156,0.952381,0.583199,0.000000,1.000000,1.000000,0.448819,1.000000,0.619122,0.833333,0.823344,1.000000,0.378594,0.636364,0.600954,0.800000,0.785827,0.833333,0.541009,0.000000,0.987441,0.000000,0.996865,0.238095,0.807754
5,1.567169,0.597121,0.506689,0.687553,1.242894,0.646232,0.582638,0.709826,0.767843,0.383399,0.985075,0.871212,0.631890,0.815789,0.696013,0.794118,0.778810,0.456522,0.675084,0.941176,0.767327,0.521739,0.752026,0.707692,0.834783,0.142857,0.932070,0.470588,0.706260,0.600000,0.664567,0.909091,0.626391,0.763889,0.427817,0.750000,0.656646,0.000000,1.000000,0.500000,0.941824,0.038462,0.969055,0.952381,0.555735,0.000000,1.000000,1.000000,0.735433,1.000000,0.315047,1.000000,0.690852,0.928571,0.736422,1.000000,0.162162,1.000000,0.628346,0.500000,0.774448,0.666666,0.756672,0.000000,0.960815,0.619048,0.408724
6,1.475279,0.672131,0.632943,0.711318,1.198885,0.724348,0.691987,0.756710,0.769549,0.652174,0.962687,0.856061,0.635827,0.842105,0.624585,0.803922,0.786245,0.652174,0.574074,0.941176,0.693069,0.739130,0.633712,0.830769,0.732174,0.142857,0.949447,0.647059,0.600321,0.200000,0.765354,0.909091,0.688394,0.541667,0.750000,0.750000,0.566456,0.000000,1.000000,0.500000,0.839623,0.153846,0.882736,0.952381,0.791599,0.000000,1.000000,1.000000,0.875591,1.000000,0.688088,1.000000,0.659306,1.000000,0.670927,0.090909,0.801272,1.000000,0.573228,0.666667,0.741325,0.333333,0.962323,0.000000,0.932602,0.333333,0.673667
7,1.403210,0.709341,0.696767,0.721915,1.173161,0.747453,0.716194,0.778712,0.781029,0.681818,0.955224,0.871212,0.643701,0.868421,0.639535,0.823529,0.728625,0.543478,0.626263,0.941176,0.747525,0.826087,0.538088,0.861538,0.718261,0.142857,0.944708,0.470588,0.674157,0.000000,0.861417,0.818182,0.728140,0.847222,0.489437,0.875000,0.577532,0.000000,1.000000,0.500000,0.841195,0.076923,0.931596,0.904762,0.851373,0.000000,1.000000,1.000000,0.896063,1.000000,0.653605,1.000000,0.739748,0.857143,0.896166,0.090909,0.850556,1.000000,0.620472,0.833333,0.716088,0.333333,0.893250,0.000000,0.952978,0.142857,0.917609
8,1.297576,0.738695,0.722687,0.754703,1.127723,0.759624,0.757930,0.761318,0.788984,0.764822,0.843284,0.893939,0.635827,0.815789,0.686047,0.852941,0.685874,0.369565,0.675084,0.941176,0.750825,0.826087,0.542950,0.892308,0.716522,0.142857,0.905213,0.764706,0.561798,0.000000,0.870866,0.909091,0.699523,0.611111,0.742958,0.750000,0.753165,0.000000,0.990596,0.750000,0.765723,0.423077,0.552117,0.952381,0.873990,0.000000,1.000000,1.000000,0.889764,1.000000,0.780564,1.000000,0.678233,0.928571,0.787540,0.272727,0.782194,1.000000,0.678740,0.500000,0.749211,0.333333,0.913658,0.000000,0.940439,0.619048,0.617124
9,1.218545,0.754494,0.738294,0.770694,1.086184,0.766801,0.732888,0.800714,0.798949,0.727273,0.925373,0.871212,0.669291,0.842105,0.707641,0.813725,0.769517,0.456522,0.718855,0.941176,0.823432,0.869565,0.589951,0.784615,0.806957,0.428571,0.859400,0.647059,0.627608,0.000000,0.968504,0.909091,0.739269,0.652778,0.697183,0.625000,0.905063,0.000000,0.932602,0.500000,0.861635,0.423077,0.571661,0.904762,0.890145,0.000000,0.993711,1.000000,0.914961,1.000000,0.772727,1.000000,0.752366,0.928571,0.789137,0.454545,0.771065,1.000000,0.784252,0.833333,0.689274,0.333333,0.990581,0.000000,0.924765,0.285714,0.804523
