epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.296602,0.599751,0.718506,0.480995,1.345518,0.601572,0.723706,0.479438,0.488976,1.000000,0.000000,0.522727,0.651575,0.973684,0.053156,0.176471,0.802974,0.108696,0.877104,0.588235,0.506601,0.000000,0.815235,0.569231,0.302609,1.000000,0.000000,0.647059,0.497592,0.800000,0.155906,0.454545,0.438792,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.500000,0.575472,0.000000,0.998371,0.952381,0.216478,0.750000,0.279874,1.000000,0.444094,1.000000,0.000000,1.000000,0.184543,1.000000,0.000000,1.000000,0.000000,0.000000,0.703937,0.666667,0.593060,0.000000,0.989011,0.000000,0.996865,0.428571,0.468498
1,1.314445,0.602672,0.579989,0.625355,1.321761,0.521965,0.363940,0.679991,0.705643,0.005929,1.000000,0.098485,0.996063,0.684211,0.745847,0.990196,0.269517,0.782609,0.247475,1.000000,0.275578,0.869565,0.437601,0.907692,0.561739,0.714286,0.609795,0.235294,0.869984,1.000000,0.198425,0.545454,0.821940,1.000000,0.003521,1.000000,0.354430,0.000000,1.000000,0.000000,1.000000,0.423077,0.426710,0.380952,0.970921,0.000000,1.000000,0.000000,0.996850,0.000000,1.000000,0.666667,0.906940,0.000000,0.985623,1.000000,0.027027,0.000000,1.000000,1.000000,0.304416,0.000000,0.976452,0.500000,0.940439,0.142857,0.912763
2,1.263683,0.587444,0.496934,0.677954,1.292271,0.577968,0.458264,0.697673,0.746876,0.233202,1.000000,0.522727,0.899606,0.526316,0.830565,0.931373,0.637546,0.630435,0.542088,1.000000,0.420792,0.956522,0.231767,0.569231,0.822609,0.857143,0.333333,0.588235,0.685393,0.400000,0.777953,0.909091,0.543720,0.402778,0.760563,0.125000,1.000000,0.000000,1.000000,0.750000,0.812893,0.000000,0.995114,0.952381,0.134087,0.000000,1.000000,0.800000,0.787402,0.000000,0.996865,0.666667,0.933754,0.857143,0.876997,0.000000,0.996820,0.800000,0.675591,1.000000,0.326498,1.000000,0.010989,0.000000,0.971787,0.523809,0.478191
3,1.202722,0.657399,0.643813,0.670986,1.215718,0.736643,0.754591,0.718696,0.780467,0.754941,0.955224,0.727273,0.805118,0.842105,0.579734,0.843137,0.752788,0.760870,0.297980,1.000000,0.640264,0.782609,0.633712,0.846154,0.669565,0.571428,0.614534,0.882353,0.606742,0.800000,0.702362,0.363636,0.855326,0.625000,0.735915,0.875000,0.909810,0.000000,0.985893,0.500000,0.878931,0.461538,0.640065,0.857143,0.676898,0.000000,0.962264,0.800000,0.925984,1.000000,0.619122,0.833333,0.843849,1.000000,0.686901,0.636364,0.678855,1.000000,0.466142,0.500000,0.679811,0.666666,0.786499,0.000000,0.951411,0.619048,0.452342
4,1.109104,0.699614,0.691193,0.708036,1.166573,0.751160,0.746244,0.756076,0.790866,0.760870,0.962687,0.803030,0.748031,0.894737,0.539867,0.892157,0.706320,0.434783,0.695286,1.000000,0.828383,0.826087,0.601297,0.923077,0.653913,0.000000,0.881517,0.294118,0.837881,0.400000,0.763780,0.272727,0.895072,0.722222,0.498239,1.000000,0.699367,0.000000,0.887147,1.000000,0.754717,0.230769,0.793160,0.809524,0.844911,0.000000,1.000000,1.000000,0.822047,1.000000,0.758621,1.000000,0.600946,0.857143,0.888179,0.363636,0.912560,0.800000,0.579528,0.833333,0.518927,0.333333,0.764521,0.000000,0.860502,0.428571,0.736672
5,1.012337,0.729580,0.721293,0.737868,1.089113,0.756397,0.707012,0.805783,0.804672,0.703557,0.977612,0.719697,0.809055,0.789474,0.737542,0.882353,0.721190,0.260870,0.880471,1.000000,0.843234,0.782609,0.565640,0.861538,0.753043,0.285714,0.849921,0.352941,0.810594,0.600000,0.814173,0.909091,0.739269,0.763889,0.547535,1.000000,0.805380,0.000000,0.841693,1.000000,0.779874,0.307692,0.824104,0.809524,0.873990,0.500000,0.740566,0.600000,0.952756,1.000000,0.799373,0.833333,0.837539,0.857143,0.859425,0.545454,0.834658,0.600000,0.833071,0.666667,0.648265,0.333333,0.993721,0.000000,0.916928,0.238095,0.867528
6,0.927621,0.751235,0.736901,0.765569,1.056068,0.776678,0.736227,0.817129,0.817549,0.756917,0.970149,0.780303,0.799213,0.894737,0.651163,0.843137,0.795539,0.434783,0.720539,1.000000,0.844884,0.565217,0.849271,0.800000,0.817391,0.142857,0.868878,0.588235,0.754414,0.600000,0.840945,1.000000,0.732909,0.652778,0.658451,1.000000,0.884494,0.000000,0.904389,1.000000,0.820755,0.384615,0.666124,0.714286,0.915994,0.500000,0.812893,0.400000,0.963780,1.000000,0.630094,1.000000,0.817035,0.857143,0.876997,0.545454,0.875994,0.600000,0.826772,0.333333,0.947950,0.333333,0.880691,0.000000,0.934169,0.571429,0.714055
7,0.847340,0.779516,0.766165,0.792866,1.032840,0.782047,0.745409,0.818684,0.835194,0.741107,0.970149,0.765152,0.830709,0.842105,0.732558,0.833333,0.834572,0.543478,0.670034,1.000000,0.858086,0.869565,0.698541,0.800000,0.791304,0.142857,0.894155,0.764706,0.749599,0.600000,0.869291,0.909091,0.812401,0.652778,0.667254,1.000000,0.954114,0.500000,0.894984,1.000000,0.849057,0.461538,0.640065,0.857143,0.877221,0.250000,0.872642,1.000000,0.930709,1.000000,0.885580,0.833333,0.938486,0.928571,0.883387,0.454545,0.848967,0.800000,0.757480,1.000000,0.553628,0.333333,0.799058,0.000000,0.956113,0.476190,0.806139
8,0.749126,0.796691,0.779264,0.814117,1.016723,0.800917,0.771285,0.830549,0.851472,0.788538,0.947761,0.833333,0.812992,0.947368,0.727575,0.852941,0.851301,0.239130,0.865320,1.000000,0.861386,0.869565,0.682334,0.861538,0.784348,0.571428,0.751975,0.764706,0.767255,0.400000,0.930709,0.909091,0.820350,0.763889,0.487676,1.000000,0.903481,0.000000,0.909091,1.000000,0.883648,0.384615,0.618893,0.809524,0.911147,0.000000,0.957547,1.000000,0.910236,1.000000,0.841693,1.000000,0.897476,0.857143,0.929712,0.363636,0.828299,0.600000,0.845669,0.666667,0.796530,0.333333,0.916797,0.000000,0.987461,0.523809,0.693053
9,0.707172,0.808638,0.789298,0.827977,1.008872,0.805095,0.766277,0.843912,0.857128,0.784585,0.962687,0.818182,0.814961,0.921053,0.740864,0.872549,0.853160,0.456522,0.777778,1.000000,0.869637,0.739130,0.820097,0.738462,0.869565,0.428571,0.796209,0.882353,0.768860,0.800000,0.886614,0.909091,0.858506,0.694444,0.623239,1.000000,0.968354,0.500000,0.866771,1.000000,0.856918,0.384615,0.638436,0.761905,0.936995,0.000000,0.959119,0.800000,0.941732,1.000000,0.880878,1.000000,0.903785,0.928571,0.894569,0.545454,0.759936,0.600000,0.825197,0.666667,0.788644,0.333333,0.957614,0.000000,0.971787,0.428571,0.730210
10,0.639845,0.821521,0.800725,0.842317,0.991340,0.811089,0.749583,0.872595,0.869765,0.745059,0.970149,0.803030,0.879921,0.868421,0.825581,0.872549,0.856877,0.630435,0.764310,1.000000,0.899340,0.869565,0.722853,0.784615,0.864348,0.428571,0.830964,0.647059,0.876404,0.400000,0.922835,1.000000,0.847377,0.583333,0.714789,1.000000,0.969937,0.000000,0.954545,1.000000,0.943396,0.346154,0.721498,0.857143,0.919225,0.000000,0.924528,0.800000,0.946457,1.000000,0.904389,1.000000,0.925868,0.857143,0.932907,0.545454,0.858506,0.600000,0.905512,0.833333,0.817035,0.666666,0.919937,0.000000,0.974922,0.523809,0.749596
11,0.587921,0.827652,0.796265,0.859038,0.962161,0.812844,0.754591,0.871098,0.873308,0.739130,0.962687,0.810606,0.874016,0.921053,0.777409,0.833333,0.879182,0.652174,0.718855,1.000000,0.879538,0.695652,0.839546,0.815385,0.853913,0.285714,0.903633,0.764706,0.839486,0.600000,0.952756,1.000000,0.861685,0.666667,0.723592,1.000000,0.958861,0.000000,0.847962,1.000000,0.905660,0.500000,0.667752,0.857143,0.893376,0.000000,0.913522,0.800000,0.944882,1.000000,0.963950,1.000000,0.941640,0.857143,0.955272,0.454545,0.828299,0.600000,0.922835,0.833333,0.851735,0.333333,0.945055,0.000000,0.984326,0.571429,0.701131
12,0.528219,0.841859,0.814660,0.869059,1.096098,0.819790,0.734558,0.905022,0.883055,0.739130,0.970149,0.765152,0.909449,0.921053,0.848837,0.882353,0.817844,0.521739,0.821549,1.000000,0.879538,0.608696,0.857374,0.830769,0.848696,0.285714,0.925750,0.764706,0.873194,0.400000,0.974803,0.818182,0.912560,0.638889,0.705986,1.000000,0.965190,0.000000,0.970219,1.000000,0.938679,0.384615,0.770358,0.761905,0.941842,0.000000,0.988994,0.800000,0.938583,1.000000,0.924765,1.000000,0.973186,0.857143,0.947284,0.545454,0.879173,0.600000,0.925984,0.500000,0.936909,0.333333,0.948195,0.000000,0.995298,0.333333,0.851373
13,0.497034,0.845999,0.812152,0.879847,1.112184,0.828483,0.751252,0.905714,0.880630,0.784585,0.962687,0.795455,0.887795,0.894737,0.837209,0.862745,0.866171,0.565217,0.774411,1.000000,0.874587,0.652174,0.855754,0.861538,0.834783,0.285714,0.955766,0.764706,0.868379,0.400000,0.963780,0.727273,0.942766,0.527778,0.774648,1.000000,0.960443,0.000000,0.971787,1.000000,0.940252,0.384615,0.721498,0.809524,0.932149,0.000000,0.979560,1.000000,0.924409,1.000000,0.948276,0.833333,0.979495,0.928571,0.947284,0.272727,0.920509,0.600000,0.951181,0.333333,0.917981,0.333333,0.957614,0.000000,0.989028,0.428571,0.817447
14,0.467353,0.846543,0.806020,0.887065,1.141086,0.847494,0.790484,0.904504,0.881302,0.845850,0.902985,0.803030,0.881890,0.921053,0.858804,0.901961,0.828996,0.782609,0.631313,1.000000,0.892739,0.652174,0.842788,0.846154,0.843478,0.285714,0.944708,0.705882,0.897271,0.600000,0.965354,0.727273,0.930048,0.527778,0.758803,1.000000,0.944620,0.000000,0.946708,1.000000,0.960692,0.384615,0.793160,0.809524,0.940226,0.000000,0.988994,0.800000,0.930709,1.000000,0.970219,1.000000,0.974763,0.857143,0.937700,0.363636,0.937997,0.600000,0.946457,0.333333,0.963722,0.333333,0.968603,0.000000,0.993730,0.476190,0.786753
15,0.437090,0.857168,0.821070,0.893266,1.232933,0.830660,0.742070,0.919249,0.880444,0.768775,0.940299,0.757576,0.911417,0.921053,0.867110,0.843137,0.901487,0.630435,0.779461,1.000000,0.902640,0.608696,0.907618,0.738462,0.883478,0.285714,0.943128,0.705882,0.906902,0.600000,0.925984,0.727273,0.942766,0.638889,0.742958,1.000000,0.969937,0.000000,0.968652,1.000000,0.963836,0.346154,0.851792,0.809524,0.922456,0.000000,0.993711,0.800000,0.957480,1.000000,0.968652,1.000000,0.970032,0.928571,0.945687,0.454545,0.899841,0.600000,0.933858,0.166667,0.974763,0.666666,0.974882,0.000000,0.992163,0.428571,0.786753
16,0.402980,0.864233,0.822185,0.906281,1.225932,0.842270,0.777963,0.906578,0.879900,0.812253,0.902985,0.848485,0.875984,0.921053,0.833887,0.843137,0.901487,0.673913,0.759259,1.000000,0.887789,0.652174,0.871961,0.784615,0.871304,0.428571,0.921011,0.941176,0.850722,0.800000,0.938583,0.818182,0.915739,0.541667,0.758803,1.000000,0.971519,0.000000,0.949843,1.000000,0.930818,0.461538,0.786645,0.809524,0.945073,0.000000,0.993711,0.800000,0.962205,1.000000,0.976489,1.000000,0.971609,0.928571,0.926518,0.454545,0.893482,0.600000,0.896063,0.333333,0.963722,0.666666,0.974882,0.000000,0.993730,0.380952,0.814216
