metric,value
AUC,0.640095
F1max,0.800857
F1max_Threshold,0.005564
F1max_Precision,0.667857
F1max_Recall,1.000000
Spec80_onTest_Threshold,0.854060
Spec80_onTest_Specificity,0.800538
Spec80_onTest_Sensitivity,0.400000
Spec80_onTest_Precision,0.801285
Spec80_onTest_Recall,0.400000
Spec80_onTest_Accuracy,0.533036
Spec80_onTest_Balanced_Accuracy,0.600269
Spec80_onTest_TP,1496
Spec80_onTest_TN,1489
Spec80_onTest_FP,371
Spec80_onTest_FN,2244
ODIR_calib_thr_Threshold,0.836618
ODIR_calib_thr_Specificity,0.786559
ODIR_calib_thr_Sensitivity,0.413369
ODIR_calib_thr_Precision,0.795677
ODIR_calib_thr_Recall,0.413369
ODIR_calib_thr_Accuracy,0.537321
ODIR_calib_thr_Balanced_Accuracy,0.599964
ODIR_calib_thr_TP,1546
ODIR_calib_thr_TN,1463
ODIR_calib_thr_FP,397
ODIR_calib_thr_FN,2194
Patient_AUC,0.670460
Patient_Spec80_Threshold,0.914880
Patient_Specificity@Spec80,0.798925
Patient_Sensitivity@Spec80,0.437433
Patient_TP,818
Patient_TN,743
Patient_FP,187
Patient_FN,1052
