metric,value
AUC,0.617876
F1max,0.801287
F1max_Threshold,0.006915
F1max_Precision,0.668935
F1max_Recall,0.998930
Spec80_onTest_Threshold,0.899990
Spec80_onTest_Specificity,0.800000
Spec80_onTest_Sensitivity,0.340909
Spec80_onTest_Precision,0.774135
Spec80_onTest_Recall,0.340909
Spec80_onTest_Accuracy,0.493393
Spec80_onTest_Balanced_Accuracy,0.570455
Spec80_onTest_TP,1275
Spec80_onTest_TN,1488
Spec80_onTest_FP,372
Spec80_onTest_FN,2465
ODIR_calib_thr_Threshold,0.869311
ODIR_calib_thr_Specificity,0.780108
ODIR_calib_thr_Sensitivity,0.378075
ODIR_calib_thr_Precision,0.775645
ODIR_calib_thr_Recall,0.378075
ODIR_calib_thr_Accuracy,0.511607
ODIR_calib_thr_Balanced_Accuracy,0.579091
ODIR_calib_thr_TP,1414
ODIR_calib_thr_TN,1451
ODIR_calib_thr_FP,409
ODIR_calib_thr_FN,2326
Patient_AUC,0.643173
Patient_Spec80_Threshold,0.945562
Patient_Specificity@Spec80,0.801075
Patient_Sensitivity@Spec80,0.357754
Patient_TP,669
Patient_TN,745
Patient_FP,185
Patient_FN,1201
