metric,value
AUC,0.589952
F1max,0.801114
F1max_Threshold,0.994078
F1max_Precision,0.668215
F1max_Recall,1.000000
Spec80_onTest_Threshold,0.999961
Spec80_onTest_Specificity,0.800538
Spec80_onTest_Sensitivity,0.328877
Spec80_onTest_Precision,0.768270
Spec80_onTest_Recall,0.328877
Spec80_onTest_Accuracy,0.485536
Spec80_onTest_Balanced_Accuracy,0.564707
Spec80_onTest_TP,1230
Spec80_onTest_TN,1489
Spec80_onTest_FP,371
Spec80_onTest_FN,2510
ODIR_calib_thr_Threshold,0.999959
ODIR_calib_thr_Specificity,0.790860
ODIR_calib_thr_Sensitivity,0.336096
ODIR_calib_thr_Precision,0.763670
ODIR_calib_thr_Recall,0.336096
ODIR_calib_thr_Accuracy,0.487143
ODIR_calib_thr_Balanced_Accuracy,0.563478
ODIR_calib_thr_TP,1257
ODIR_calib_thr_TN,1471
ODIR_calib_thr_FP,389
ODIR_calib_thr_FN,2483
Patient_AUC,0.617689
Patient_Spec80_Threshold,0.999979
Patient_Specificity@Spec80,0.800000
Patient_Sensitivity@Spec80,0.365241
Patient_TP,683
Patient_TN,744
Patient_FP,186
Patient_FN,1187
Temperature,7.375405
