metric,value
AUC,0.629371
F1max,0.801956
F1max_Threshold,0.355662
F1max_Precision,0.669388
F1max_Recall,1.000000
F1max_Specificity,0.000000
F1max_Sensitivity,1.000000
F1max_Accuracy,0.669388
F1max_Balanced_Accuracy,0.500000
F1max_TP,3280
F1max_TN,0
F1max_FP,1620
F1max_FN,0
Spec80_onTest_Threshold,0.571022
Spec80_onTest_Specificity,0.800617
Spec80_onTest_Sensitivity,0.370427
Spec80_onTest_Precision,0.789987
Spec80_onTest_Recall,0.370427
Spec80_onTest_Accuracy,0.512653
Spec80_onTest_Balanced_Accuracy,0.585522
Spec80_onTest_TP,1215
Spec80_onTest_TN,1297
Spec80_onTest_FP,323
Spec80_onTest_FN,2065
ODIR_calib_thr_Threshold,0.375888
ODIR_calib_thr_Specificity,0.003704
ODIR_calib_thr_Sensitivity,0.996037
ODIR_calib_thr_Precision,0.669330
ODIR_calib_thr_Recall,0.996037
ODIR_calib_thr_Accuracy,0.667959
ODIR_calib_thr_Balanced_Accuracy,0.499870
ODIR_calib_thr_TP,3267
ODIR_calib_thr_TN,6
ODIR_calib_thr_FP,1614
ODIR_calib_thr_FN,13
Patient_AUC,0.655102
Patient_Spec80_Threshold,0.641374
Patient_Specificity@Spec80,0.800000
Patient_Sensitivity@Spec80,0.403049
Patient_TP,661
Patient_TN,648
Patient_FP,162
Patient_FN,979
Temperature,5.417646
