epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.300384,0.541557,0.644370,0.438743,1.341980,0.504716,0.582638,0.426794,0.488716,0.549407,0.134328,0.871212,0.139764,0.763158,0.200997,0.382353,0.923792,0.086957,0.914141,0.029412,0.909241,1.000000,0.000000,0.215385,0.646957,0.428571,0.350711,0.411765,0.654896,0.800000,0.283465,0.000000,0.926868,1.000000,0.024648,0.875000,0.321203,0.500000,0.278997,0.750000,0.229560,0.961538,0.004886,1.000000,0.008078,1.000000,0.037736,0.000000,0.977953,0.000000,0.979624,0.833333,0.649842,1.000000,0.031949,0.909091,0.108108,0.200000,0.444094,0.000000,0.826498,1.000000,0.021978,0.000000,0.935737,0.714286,0.174475
1,1.321867,0.617954,0.567726,0.668183,1.358865,0.603873,0.345576,0.862170,0.632415,0.108696,0.925373,0.848485,0.643701,0.736842,0.534884,0.862745,0.620818,0.282609,0.695286,1.000000,0.455446,0.478261,0.732577,0.169231,0.822609,0.000000,1.000000,0.882353,0.516854,0.000000,1.000000,0.090909,0.904610,0.180556,0.820423,0.500000,0.859177,0.000000,1.000000,0.000000,0.985849,0.000000,0.980456,0.857143,0.652666,0.000000,1.000000,0.000000,1.000000,0.000000,0.976489,0.000000,0.996845,0.428571,0.936102,0.454545,0.853736,0.000000,0.995276,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
2,1.341797,0.622522,0.467113,0.777931,1.347425,0.571182,0.362270,0.780094,0.689778,0.065217,1.000000,0.606061,0.742126,0.947368,0.237542,0.568627,0.897770,1.000000,0.097643,0.294118,0.986799,0.782609,0.495948,0.492308,0.653913,0.000000,1.000000,0.058824,0.874799,1.000000,0.370079,1.000000,0.424483,0.805556,0.239437,0.375000,0.906646,0.000000,1.000000,0.750000,0.823899,0.000000,1.000000,0.952381,0.720517,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.833333,0.802839,0.642857,0.897764,0.545454,0.600954,0.000000,0.993701,0.000000,0.952681,0.000000,0.954474,0.000000,1.000000,0.000000,1.000000
3,1.338971,0.646637,0.540970,0.752304,1.481975,0.668130,0.540902,0.795358,0.717589,0.440711,0.992537,0.643939,0.706693,0.868421,0.539867,0.754902,0.750929,0.978261,0.025253,0.823529,0.810231,0.695652,0.581848,0.461538,0.692174,0.000000,1.000000,0.764706,0.693419,0.400000,0.807874,0.727273,0.694754,0.291667,0.880282,0.500000,0.757911,0.000000,1.000000,0.500000,0.875786,0.730769,0.340391,0.809524,0.925687,0.000000,1.000000,0.200000,0.933858,0.000000,1.000000,0.833333,0.858044,0.928571,0.854633,0.000000,0.998410,0.000000,0.996850,0.666667,0.441640,0.000000,1.000000,0.000000,1.000000,0.095238,0.956381
4,1.258662,0.703738,0.631828,0.775647,1.430056,0.784769,0.797162,0.772376,0.764399,0.855731,0.783582,0.818182,0.751969,0.947368,0.393688,0.990196,0.539033,0.739130,0.464646,1.000000,0.470297,0.739130,0.636953,0.984615,0.243478,0.000000,1.000000,0.647059,0.709470,0.000000,0.921260,0.272727,0.845787,0.861111,0.272887,1.000000,0.571203,0.000000,1.000000,0.750000,0.748428,0.307692,0.763844,0.619048,0.983845,0.000000,1.000000,0.000000,0.979528,0.000000,1.000000,0.833333,0.835962,0.357143,0.980831,0.181818,0.966614,0.800000,0.543307,0.000000,0.984227,0.666666,0.893250,0.000000,1.000000,0.095238,0.933764
5,1.256832,0.725211,0.664158,0.786263,1.261298,0.785001,0.736227,0.833775,0.802671,0.794466,0.888060,0.878788,0.744094,0.947368,0.637874,0.882353,0.708178,0.021739,0.986532,1.000000,0.808581,0.869565,0.547812,0.846154,0.657391,0.000000,0.988942,0.470588,0.757624,0.200000,0.831496,0.363636,0.887122,0.638889,0.404930,1.000000,0.849684,0.000000,1.000000,0.750000,0.806604,0.076923,0.980456,0.714286,0.985460,0.000000,1.000000,0.200000,0.974803,1.000000,0.763323,1.000000,0.823344,0.928571,0.910543,0.454545,0.833068,1.000000,0.795276,0.166667,0.908517,0.000000,1.000000,0.500000,0.821317,0.333333,0.820679
6,1.118032,0.766971,0.705964,0.827977,1.212056,0.782560,0.711185,0.853934,0.818505,0.754941,0.970149,0.803030,0.854331,0.815789,0.865449,0.705882,0.838290,0.000000,0.996633,0.941176,0.914191,0.739130,0.670989,0.738462,0.859130,0.428571,0.860979,0.352941,0.780096,0.800000,0.801575,0.909091,0.831479,0.777778,0.536972,0.875000,0.905063,0.000000,1.000000,1.000000,0.817610,0.384615,0.614007,0.809524,0.886914,0.000000,1.000000,0.800000,0.929134,0.000000,0.982759,1.000000,0.864353,0.928571,0.833866,0.727273,0.721781,1.000000,0.807874,0.333333,0.889590,0.000000,1.000000,0.000000,0.990596,0.428571,0.789984
7,1.093871,0.773605,0.716276,0.830934,1.182943,0.771877,0.762104,0.781650,0.821751,0.756917,0.970149,0.878788,0.822835,0.973684,0.707641,0.676471,0.864312,0.760870,0.506734,1.000000,0.858086,0.869565,0.756888,0.846154,0.850435,0.285714,0.913112,0.647059,0.765650,0.400000,0.897638,1.000000,0.600954,0.666667,0.711268,1.000000,0.886076,0.500000,0.753918,0.750000,0.863208,0.384615,0.770358,0.857143,0.662359,0.000000,1.000000,0.800000,0.697638,1.000000,0.570533,0.833333,0.888013,0.928571,0.872204,0.545454,0.836248,0.600000,0.946457,0.666667,0.574132,0.666666,0.546311,0.500000,0.915361,0.476190,0.807754
8,1.001421,0.778026,0.732163,0.823888,1.218932,0.818382,0.778798,0.857966,0.831007,0.859684,0.850746,0.893939,0.814961,0.973684,0.752492,0.686275,0.862454,0.391304,0.814815,0.941176,0.820132,0.826087,0.805511,0.953846,0.798261,0.714286,0.829384,0.529412,0.792937,0.800000,0.812598,0.909091,0.825119,0.513889,0.799296,1.000000,0.920886,0.000000,0.992163,0.750000,0.897799,0.038462,0.900651,0.809524,0.911147,0.000000,1.000000,0.800000,0.935433,1.000000,0.863636,1.000000,0.903785,0.928571,0.859425,0.636364,0.783784,1.000000,0.763780,0.000000,0.824921,0.000000,0.992151,0.500000,0.978056,0.476190,0.733441
9,0.955824,0.783953,0.732441,0.835464,1.392050,0.798295,0.722037,0.874554,0.855640,0.709486,0.992537,0.901515,0.799213,0.789474,0.863787,0.696078,0.875465,0.630435,0.744108,0.852941,0.942244,0.869565,0.811994,0.830769,0.864348,0.428571,0.846761,0.588235,0.707865,0.800000,0.850394,1.000000,0.782194,0.597222,0.669014,1.000000,0.976266,0.000000,0.985893,0.000000,0.959119,0.615385,0.509772,0.761905,0.956381,0.000000,1.000000,0.800000,0.959055,1.000000,0.896552,0.833333,0.968454,0.857143,0.961661,0.545454,0.863275,0.800000,0.966929,0.500000,0.864353,0.666666,0.937206,0.500000,0.968652,0.190476,0.872375
