epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.299736,0.478461,0.469900,0.487023,1.346640,0.543718,0.605175,0.482260,0.503123,0.606719,0.507463,0.250000,0.897638,1.000000,0.028239,0.754902,0.442379,0.739130,0.218855,0.500000,0.627063,0.478261,0.628849,0.984615,0.008696,0.428571,0.440758,0.941176,0.046549,0.400000,0.815748,0.363636,0.486486,0.958333,0.015845,0.000000,0.905063,0.000000,0.741379,1.000000,0.003145,0.000000,0.887622,0.428571,0.778675,0.500000,0.803459,0.200000,0.519685,1.000000,0.112853,0.000000,0.705047,0.071429,0.785942,0.545454,0.550079,1.000000,0.033071,0.500000,0.370662,0.000000,0.976452,1.000000,0.402821,0.714286,0.231018
1,1.301515,0.550989,0.450669,0.651309,1.344296,0.642296,0.545910,0.738682,0.577850,0.448617,0.761194,0.909091,0.358268,0.631579,0.338870,0.450980,0.836431,0.717391,0.324916,0.764706,0.518152,0.913043,0.291734,0.876923,0.078261,0.000000,0.982622,0.529412,0.638844,0.000000,1.000000,0.818182,0.481717,0.569444,0.478873,0.125000,0.912975,0.000000,1.000000,0.000000,0.979560,0.038462,0.957655,0.761905,0.555735,0.000000,1.000000,0.000000,0.908661,0.000000,0.998433,0.000000,0.998423,0.428571,0.643770,0.181818,0.831479,0.000000,0.995276,0.000000,0.949527,0.000000,1.000000,0.000000,1.000000,0.714286,0.382876
2,1.315113,0.595549,0.418618,0.772479,1.363439,0.634344,0.393155,0.875533,0.671445,0.272727,0.992537,0.962121,0.419291,0.105263,0.878738,0.372549,0.972119,0.913043,0.163300,0.500000,0.938944,0.260870,0.896272,0.676923,0.627826,0.000000,1.000000,0.058824,0.969502,0.000000,1.000000,1.000000,0.133545,0.333333,0.698944,0.500000,0.886076,0.000000,1.000000,0.000000,1.000000,0.000000,0.995114,0.380952,0.896607,0.000000,1.000000,0.000000,0.995276,0.000000,1.000000,0.000000,1.000000,0.428571,0.907348,0.000000,0.996820,0.000000,0.993701,0.000000,0.992114,0.000000,1.000000,0.000000,1.000000,0.047619,0.969305
3,1.311432,0.608111,0.385173,0.831049,1.370756,0.670077,0.470785,0.869370,0.739305,0.341897,0.992537,0.742424,0.751969,0.842105,0.478405,0.647059,0.910781,0.695652,0.489899,0.823529,0.844884,0.521739,0.789303,0.538462,0.833043,0.000000,1.000000,0.058824,0.906902,0.000000,1.000000,1.000000,0.465819,0.458333,0.720070,0.375000,0.950949,0.000000,1.000000,0.250000,0.943396,0.115385,0.851792,0.904762,0.659128,0.000000,1.000000,0.000000,0.998425,0.000000,1.000000,0.666667,0.974763,0.785714,0.840256,0.090909,0.984102,0.000000,0.996850,0.166667,0.862776,0.000000,1.000000,0.000000,1.000000,0.000000,0.970921
4,1.253529,0.700046,0.615385,0.784708,1.298966,0.714253,0.640234,0.788273,0.797107,0.551383,0.977612,0.704545,0.765748,0.578947,0.666113,0.794118,0.763941,0.782609,0.407407,1.000000,0.726073,0.782609,0.679092,0.846154,0.671304,0.000000,1.000000,0.470588,0.781701,0.400000,0.937008,1.000000,0.505564,0.875000,0.227113,0.625000,0.832278,0.000000,1.000000,0.500000,0.792453,0.230769,0.617264,0.809524,0.851373,0.000000,1.000000,0.600000,0.981102,1.000000,0.899687,0.833333,0.881703,0.428571,0.974441,0.363636,0.829889,0.600000,0.885039,1.000000,0.440063,0.333333,0.945055,0.000000,1.000000,0.238095,0.849758
5,1.173395,0.742997,0.710981,0.775013,1.106792,0.761103,0.716194,0.806013,0.832907,0.685771,0.992537,0.848485,0.767717,0.868421,0.548173,0.725490,0.849442,0.500000,0.668350,1.000000,0.797030,0.826087,0.646677,0.938462,0.779130,0.142857,0.996840,0.529412,0.796148,0.400000,0.861417,1.000000,0.745628,0.666667,0.443662,0.750000,0.802215,0.000000,1.000000,0.750000,0.798742,0.153846,0.825733,0.904762,0.835218,0.000000,1.000000,1.000000,0.922835,1.000000,0.683386,1.000000,0.876972,0.928571,0.848243,0.636364,0.837838,0.800000,0.823622,0.833333,0.574132,0.000000,1.000000,0.000000,0.960815,0.476190,0.768982
6,1.086181,0.775344,0.727146,0.823543,1.046352,0.812223,0.819699,0.804746,0.852382,0.859684,0.873134,0.931818,0.687008,0.578947,0.906977,0.803922,0.840149,0.456522,0.651515,1.000000,0.899340,0.913043,0.533225,0.938462,0.826087,0.142857,0.928910,0.823529,0.672552,0.600000,0.820472,0.727273,0.817170,0.694444,0.577465,0.875000,0.832278,1.000000,0.965517,1.000000,0.814465,0.846154,0.273616,0.952381,0.809370,0.000000,1.000000,1.000000,0.792126,1.000000,0.913793,1.000000,0.867508,1.000000,0.821086,0.727273,0.718601,0.800000,0.919685,0.000000,0.895899,0.000000,1.000000,0.000000,0.974922,0.619048,0.684976
7,1.020127,0.792318,0.748328,0.836309,1.099872,0.807455,0.769616,0.845294,0.855569,0.754941,0.985075,0.871212,0.820866,0.736842,0.830565,0.862745,0.858736,0.739130,0.457912,1.000000,0.902640,0.565217,0.815235,0.953846,0.836522,0.142857,0.916272,0.705882,0.773676,0.400000,0.903937,0.909091,0.856916,0.805556,0.410211,0.875000,0.892405,1.000000,0.948276,0.750000,0.891509,0.269231,0.768730,0.857143,0.904685,0.000000,1.000000,1.000000,0.937008,1.000000,0.727273,0.833333,0.913249,0.857143,0.934505,0.636364,0.904610,0.800000,0.930709,0.833333,0.776025,0.333333,0.802198,0.000000,0.949843,0.238095,0.901454
8,0.931522,0.800332,0.761706,0.838958,1.043777,0.814608,0.783806,0.845410,0.868887,0.782609,0.985075,0.901515,0.824803,0.789474,0.817276,0.764706,0.890335,0.586957,0.705387,1.000000,0.900990,0.826087,0.740681,0.938462,0.862609,0.714286,0.835703,0.705882,0.789727,0.600000,0.850394,1.000000,0.786963,0.652778,0.725352,0.750000,0.954114,0.500000,0.909091,0.750000,0.968553,0.384615,0.775244,0.904762,0.799677,0.000000,1.000000,1.000000,0.869291,1.000000,0.786834,1.000000,0.921136,0.928571,0.853035,0.818182,0.801272,1.000000,0.867717,1.000000,0.687697,0.000000,0.979592,0.000000,0.984326,0.571429,0.725363
9,0.820624,0.812846,0.765329,0.860362,1.189841,0.840204,0.805509,0.874899,0.870539,0.796443,0.940299,0.901515,0.809055,0.789474,0.863787,0.921569,0.838290,0.478261,0.861953,1.000000,0.879538,0.695652,0.786062,0.984615,0.850435,0.142857,0.936809,0.705882,0.804173,0.600000,0.927559,1.000000,0.871224,0.847222,0.455986,0.875000,0.938291,0.500000,0.970219,1.000000,0.941824,0.769231,0.366450,0.809524,0.956381,0.000000,1.000000,0.800000,0.952756,1.000000,0.945141,0.833333,0.944795,0.857143,0.956869,0.727273,0.906200,1.000000,0.944882,0.500000,0.853312,0.000000,0.985871,0.000000,0.978056,0.333333,0.872375
10,0.815587,0.820807,0.772018,0.869596,1.052180,0.839151,0.813022,0.865280,0.875382,0.826087,0.925373,0.878788,0.874016,0.842105,0.837209,0.813725,0.793680,0.521739,0.865320,1.000000,0.887789,0.826087,0.774716,0.953846,0.852174,0.571428,0.889415,0.823529,0.817014,0.800000,0.848819,1.000000,0.802862,0.763889,0.531690,0.750000,0.955696,0.500000,0.913793,1.000000,0.938679,0.346154,0.745928,0.857143,0.899838,0.000000,1.000000,1.000000,0.930709,1.000000,0.942006,0.833333,0.958991,1.000000,0.867412,0.727273,0.818760,1.000000,0.929134,1.000000,0.813880,0.333333,0.945055,0.500000,0.963950,0.619048,0.759289
11,0.746681,0.829492,0.784838,0.874146,1.069522,0.842836,0.818030,0.867642,0.882462,0.812253,0.962687,0.901515,0.864173,0.894737,0.799003,0.813725,0.886617,0.760870,0.648148,0.970588,0.902640,0.739130,0.824959,0.984615,0.843478,0.714286,0.889415,0.882353,0.735152,0.800000,0.881890,1.000000,0.887122,0.736111,0.575704,1.000000,0.952532,0.500000,0.948276,1.000000,0.921384,0.423077,0.638436,0.857143,0.922456,0.000000,1.000000,0.800000,0.952756,1.000000,0.940439,1.000000,0.924290,0.857143,0.912141,0.727273,0.847377,1.000000,0.916535,0.833333,0.848580,0.000000,0.965463,0.500000,0.965517,0.523809,0.820679
12,0.702731,0.839562,0.801561,0.877563,1.046139,0.844750,0.823873,0.865626,0.888809,0.828063,0.962687,0.893939,0.848425,0.947368,0.803987,0.794118,0.933086,0.760870,0.661616,0.970588,0.892739,0.782609,0.821718,0.907692,0.869565,0.571428,0.865719,0.882353,0.815409,0.800000,0.897638,1.000000,0.898251,0.750000,0.551056,0.875000,0.935127,0.500000,0.943574,1.000000,0.932390,0.730769,0.449511,0.857143,0.938611,0.000000,1.000000,0.800000,0.951181,1.000000,0.913793,1.000000,0.973186,0.857143,0.924920,0.545454,0.880763,1.000000,0.914961,1.000000,0.858044,0.666666,0.923077,0.500000,0.965517,0.333333,0.796446
13,0.682937,0.840822,0.797938,0.883706,1.067455,0.850322,0.824708,0.875936,0.889939,0.837945,0.962687,0.871212,0.864173,0.947368,0.813953,0.813725,0.892193,0.760870,0.713805,0.941176,0.905941,0.739130,0.831442,0.969231,0.859130,0.428571,0.911532,0.941176,0.818620,0.800000,0.875591,1.000000,0.903021,0.763889,0.538732,0.875000,0.952532,0.000000,0.954545,1.000000,0.922956,0.423077,0.688925,0.857143,0.943457,0.000000,1.000000,0.800000,0.955906,1.000000,0.902821,1.000000,0.976341,0.928571,0.905751,0.727273,0.834658,1.000000,0.907087,0.666667,0.876972,0.333333,0.952904,0.500000,0.960815,0.476190,0.785137
14,0.682618,0.845710,0.801839,0.889580,1.134945,0.856272,0.813856,0.898687,0.892242,0.822134,0.955224,0.840909,0.909449,0.947368,0.828904,0.862745,0.888476,0.652174,0.821549,1.000000,0.887789,0.782609,0.852512,0.984615,0.806957,0.571428,0.911532,0.882353,0.918138,0.800000,0.924409,1.000000,0.930048,0.777778,0.515845,1.000000,0.935127,0.000000,0.973354,1.000000,0.962264,0.423077,0.752443,0.857143,0.943457,0.000000,1.000000,1.000000,0.943307,1.000000,0.957680,0.833333,0.970032,0.928571,0.921725,0.454545,0.898251,1.000000,0.924409,0.666667,0.922713,0.000000,0.965463,0.500000,0.976489,0.333333,0.844911
15,0.673705,0.853440,0.814939,0.891941,1.084739,0.853755,0.803005,0.904504,0.897611,0.798419,0.970149,0.909091,0.870079,0.921053,0.888704,0.794118,0.929368,0.760870,0.720539,0.941176,0.927393,0.782609,0.846029,0.938462,0.874783,0.571428,0.932070,0.941176,0.911717,0.800000,0.914961,1.000000,0.925278,0.750000,0.575704,1.000000,0.931962,0.000000,0.970219,1.000000,0.959119,0.423077,0.754072,0.904762,0.948304,0.000000,0.993711,0.800000,0.962205,1.000000,0.923197,1.000000,0.985804,0.928571,0.929712,0.363636,0.925278,1.000000,0.944882,0.666667,0.902208,0.333333,0.962323,0.500000,0.978056,0.238095,0.865913
16,0.642274,0.849163,0.799052,0.899274,1.078236,0.866244,0.838063,0.894425,0.896927,0.837945,0.962687,0.901515,0.874016,1.000000,0.845515,0.862745,0.895911,0.760870,0.771044,1.000000,0.912541,0.739130,0.839546,0.969231,0.864348,0.571428,0.911532,0.941176,0.889246,0.800000,0.896063,1.000000,0.926868,0.777778,0.549296,1.000000,0.933544,0.000000,0.973354,1.000000,0.952830,0.576923,0.706840,0.857143,0.941842,0.000000,0.996855,1.000000,0.955906,1.000000,0.923197,1.000000,0.979495,0.928571,0.928115,0.454545,0.883943,1.000000,0.935433,0.666667,0.903785,0.333333,0.967033,0.500000,0.971787,0.380952,0.838449
