epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,30.666422,0.500000,1.000000,0.000000,30.278582,0.500000,1.000000,0.000000,0.500000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,30.626165,0.500000,1.000000,0.000000,30.203658,0.500000,1.000000,0.000000,0.500000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
2,30.504092,0.500000,1.000000,0.000000,30.054331,0.500000,1.000000,0.000000,0.500000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
3,30.310086,0.500000,1.000000,0.000000,29.831613,0.500000,1.000000,0.000000,0.500000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
4,30.064056,0.500000,1.000000,0.000000,29.537032,0.500000,1.000000,0.000000,0.500000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
5,3.478762,0.526335,0.570792,0.481878,1.318713,0.583273,0.492487,0.674058,0.665229,0.586957,0.932836,0.568182,0.669291,0.921053,0.566445,0.029412,0.979554,0.304348,0.708754,0.117647,0.968647,0.347826,0.927066,0.261538,0.819130,0.000000,0.984202,0.470588,0.858748,0.200000,0.856693,0.090909,0.885533,0.680556,0.271127,0.375000,0.939873,0.500000,0.310345,1.000000,0.584906,0.000000,0.913681,0.523809,0.621971,0.250000,0.767296,1.000000,0.083465,0.000000,0.978056,0.833333,0.556782,1.000000,0.146965,0.909091,0.581876,1.000000,0.519685,0.833333,0.421136,0.333333,0.877551,1.000000,0.512539,0.523809,0.544426
6,1.264775,0.559102,0.506689,0.611514,1.247457,0.624883,0.453255,0.796510,0.734580,0.418972,0.985075,0.446970,0.716535,0.815789,0.837209,0.245098,0.842007,0.195652,0.806397,0.588235,0.858086,0.478261,0.850891,0.584615,0.806957,0.000000,0.990521,0.588235,0.818620,0.200000,0.891339,0.727273,0.721781,0.513889,0.573944,0.500000,0.944620,0.000000,0.954545,0.500000,0.896226,0.461538,0.780130,0.761905,0.554120,0.000000,0.894654,1.000000,0.250394,0.000000,0.830721,0.500000,0.839117,0.785714,0.773163,0.909091,0.677265,0.800000,0.659843,0.333333,0.851735,0.333333,0.902669,0.500000,0.927900,0.523809,0.777060
7,1.073960,0.632133,0.578595,0.685672,1.162521,0.667225,0.863940,0.470510,0.776822,0.814229,0.708955,0.848485,0.616142,1.000000,0.438538,0.950980,0.312268,0.913043,0.297980,0.911765,0.414191,0.739130,0.687196,0.907692,0.483478,0.857143,0.385466,0.705882,0.818620,1.000000,0.535433,1.000000,0.440382,0.875000,0.190141,0.875000,0.738924,0.000000,0.846395,1.000000,0.723270,0.961538,0.242671,1.000000,0.332795,0.750000,0.327044,1.000000,0.196850,1.000000,0.326019,1.000000,0.466877,0.928571,0.453674,0.909091,0.647059,1.000000,0.220472,1.000000,0.419558,1.000000,0.339089,1.000000,0.813480,0.857143,0.369952
8,0.934769,0.669504,0.592809,0.746199,1.440402,0.648331,0.373957,0.922705,0.790344,0.332016,1.000000,0.371212,0.852362,0.657895,0.898671,0.509804,0.914498,0.347826,0.840067,0.647059,0.953795,0.391304,0.907618,0.492308,0.916522,0.142857,0.890995,0.647059,0.942215,0.400000,0.914961,0.454545,0.934817,0.097222,0.922535,0.500000,0.960443,0.000000,0.957680,0.250000,0.977987,0.115385,0.877850,0.333333,0.915994,0.000000,0.996855,0.200000,0.960630,0.000000,0.978056,0.666667,0.940063,0.285714,0.969649,0.272727,0.910970,0.600000,0.908661,0.833333,0.810726,0.333333,0.952904,0.000000,0.998433,0.619048,0.786753
9,0.773316,0.725810,0.655240,0.796380,1.058707,0.740780,0.796327,0.685232,0.823532,0.719368,0.850746,0.909091,0.547244,1.000000,0.583056,0.852941,0.587361,0.804348,0.474747,0.852941,0.702970,0.913043,0.591572,0.907692,0.707826,0.857143,0.665087,0.941176,0.701445,0.600000,0.768504,1.000000,0.658188,0.638889,0.464789,1.000000,0.791139,0.500000,0.874608,1.000000,0.867925,0.846154,0.441368,0.952381,0.789984,0.000000,0.614780,0.600000,0.741732,0.500000,0.785266,0.666667,0.812303,1.000000,0.672524,0.818182,0.744038,1.000000,0.670866,1.000000,0.694006,0.666666,0.693878,0.500000,0.923197,0.809524,0.484653
