epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.301304,0.452370,0.420290,0.484451,1.342264,0.445463,0.417362,0.473563,0.489522,0.000000,1.000000,0.992424,0.011811,0.000000,0.998339,1.000000,0.000000,0.413043,0.659933,1.000000,0.000000,0.000000,0.996759,1.000000,0.000000,1.000000,0.000000,0.000000,0.972713,1.000000,0.000000,0.000000,0.990461,0.986111,0.000000,0.000000,0.996835,0.000000,1.000000,0.000000,0.998428,1.000000,0.000000,0.190476,0.318255,1.000000,0.061321,1.000000,0.000000,1.000000,0.003135,1.000000,0.004732,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.142857,0.914378
1,1.313821,0.524042,0.405240,0.642843,1.362392,0.545858,0.348080,0.743636,0.605075,0.000000,1.000000,1.000000,0.000000,0.157895,0.978405,0.215686,0.992565,1.000000,0.011785,1.000000,0.000000,0.695652,0.766613,0.476923,0.817391,0.000000,1.000000,1.000000,0.288925,0.000000,1.000000,0.000000,0.996820,0.986111,0.005282,0.250000,0.998418,0.000000,1.000000,0.000000,1.000000,0.846154,0.157980,0.333333,0.473344,0.000000,1.000000,0.000000,0.998425,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
2,1.335024,0.604137,0.499164,0.709111,1.381075,0.698683,0.603506,0.793860,0.703467,0.638340,0.776119,1.000000,0.000000,0.289474,0.946844,0.284314,0.990706,0.565217,0.570707,0.205882,0.963696,0.130435,0.962723,1.000000,0.029565,0.000000,1.000000,0.000000,0.998395,0.000000,1.000000,1.000000,0.319555,0.972222,0.095070,0.875000,0.768987,0.000000,1.000000,0.000000,0.995283,0.000000,0.993485,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.391374,0.363636,0.920509,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
3,1.340082,0.602579,0.425307,0.779851,1.437336,0.563138,0.344741,0.781534,0.740387,0.013834,1.000000,0.984848,0.364173,1.000000,0.000000,0.166667,0.992565,1.000000,0.008418,1.000000,0.000000,1.000000,0.000000,0.707692,0.606957,0.000000,1.000000,0.882353,0.698234,0.000000,1.000000,0.000000,1.000000,0.513889,0.730634,0.250000,0.973101,0.000000,1.000000,0.000000,0.992138,0.038462,0.858306,0.047619,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.928571,0.685304,0.090909,1.000000,0.000000,1.000000,0.333333,0.717666,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
4,1.358180,0.633131,0.517280,0.748983,1.450107,0.547564,0.265442,0.829686,0.754429,0.025692,1.000000,0.045455,0.998031,0.736842,0.727575,0.264706,0.990706,0.956522,0.053872,0.911765,0.684818,0.086957,0.965964,1.000000,0.080000,0.000000,1.000000,0.176471,0.942215,0.000000,0.957480,1.000000,0.208267,0.986111,0.042254,0.250000,0.966772,0.000000,1.000000,0.000000,0.971698,0.000000,1.000000,0.333333,0.987076,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.998423,0.000000,1.000000,0.727273,0.480127,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.993538
5,1.306562,0.656929,0.552954,0.760904,1.303030,0.729052,0.656928,0.801175,0.765008,0.612648,0.970149,0.863636,0.614173,0.868421,0.581395,0.784314,0.802974,0.695652,0.457912,0.852941,0.717822,0.652174,0.850891,0.753846,0.606957,0.000000,1.000000,0.294118,0.863563,0.000000,0.962205,0.090909,0.855326,0.666667,0.357394,0.375000,0.833861,0.000000,1.000000,0.250000,0.878931,0.000000,0.998371,0.904762,0.710824,0.000000,1.000000,0.800000,0.548031,0.000000,1.000000,0.833333,0.870662,0.857143,0.672524,0.090909,0.945946,0.800000,0.880315,0.500000,0.804416,0.000000,1.000000,0.000000,1.000000,0.904762,0.437803
6,1.223031,0.688020,0.608417,0.767623,1.294925,0.693614,0.661102,0.726126,0.772221,0.667984,0.992537,0.863636,0.600394,0.763158,0.724252,0.509804,0.938662,0.782609,0.368687,0.735294,0.828383,0.739130,0.703404,0.492308,0.838261,0.000000,1.000000,0.764706,0.539326,0.800000,0.729134,0.909091,0.478537,0.513889,0.646127,0.375000,0.909810,0.000000,1.000000,0.250000,0.935535,0.153846,0.537459,0.904762,0.557351,0.000000,1.000000,1.000000,0.607874,0.500000,0.822884,0.833333,0.826498,1.000000,0.341853,0.727273,0.330684,0.800000,0.766929,0.333333,0.810726,0.000000,1.000000,0.000000,1.000000,0.904762,0.386107
7,1.143989,0.738918,0.711538,0.766298,1.191512,0.753804,0.710351,0.797258,0.806247,0.699605,0.970149,0.696970,0.789370,0.921053,0.541528,0.872549,0.704461,0.565217,0.772727,0.941176,0.572607,0.652174,0.824959,0.923077,0.570435,0.285714,0.886256,0.470588,0.828250,0.200000,0.886614,0.818182,0.658188,0.902778,0.276408,0.750000,0.931962,0.000000,1.000000,0.500000,0.907233,0.000000,0.972313,0.857143,0.791599,0.000000,1.000000,0.800000,0.811024,1.000000,0.713166,0.833333,0.865931,0.785714,0.889776,0.272727,0.818760,0.800000,0.718110,0.833333,0.575710,0.000000,0.996860,0.500000,0.956113,0.095238,0.917609
8,1.039634,0.755186,0.724359,0.786013,1.136025,0.779964,0.782137,0.777791,0.834816,0.794466,0.955224,0.886364,0.726378,0.921053,0.649502,0.803922,0.881041,0.239130,0.920875,1.000000,0.750825,0.869565,0.659643,0.923077,0.726957,0.857143,0.469194,0.882353,0.714286,0.800000,0.765354,0.727273,0.712242,0.555556,0.732394,0.875000,0.924051,0.000000,0.995298,0.750000,0.897799,0.500000,0.433225,0.857143,0.859451,0.000000,1.000000,0.800000,0.941732,1.000000,0.829154,1.000000,0.774448,0.857143,0.859425,0.818182,0.621622,1.000000,0.691339,0.666667,0.686120,0.000000,1.000000,0.500000,0.956113,0.904762,0.534733
9,0.933778,0.777346,0.750557,0.804135,1.083615,0.809191,0.795492,0.822889,0.855278,0.802372,0.955224,0.909091,0.683071,0.921053,0.792359,0.774510,0.882900,0.782609,0.612795,0.970588,0.892739,0.869565,0.625608,0.846154,0.845217,0.285714,0.935229,0.941176,0.703050,0.800000,0.900787,0.818182,0.785374,0.527778,0.660211,1.000000,0.830696,0.000000,0.984326,1.000000,0.866352,0.692308,0.372964,0.761905,0.946688,0.000000,1.000000,0.800000,0.940157,1.000000,0.805643,1.000000,0.875394,0.857143,0.900958,0.636364,0.788553,1.000000,0.885039,0.666667,0.749211,0.333333,0.841444,0.500000,0.987461,0.571429,0.852989
