epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.307198,0.347956,0.294314,0.401597,1.356183,0.345869,0.282972,0.408766,0.490179,0.000000,1.000000,0.000000,0.966535,0.947368,0.034884,0.450980,0.520446,0.630435,0.442761,1.000000,0.001650,0.000000,1.000000,0.000000,0.970435,1.000000,0.014218,1.000000,0.000000,0.400000,0.683465,0.727273,0.197138,1.000000,0.000000,0.625000,0.169304,1.000000,0.078370,0.000000,1.000000,0.961538,0.039088,1.000000,0.077544,0.000000,0.922956,0.600000,0.425197,1.000000,0.017241,0.166667,0.809148,0.000000,0.936102,0.909091,0.033386,0.800000,0.269291,0.000000,0.924290,1.000000,0.070644,1.000000,0.326019,0.476190,0.487884
1,1.313579,0.492492,0.368172,0.616813,1.352620,0.549679,0.327212,0.772146,0.643283,0.167984,0.992537,0.045455,0.986220,0.789474,0.207641,0.598039,0.860595,0.760870,0.360269,0.911765,0.397690,0.000000,0.998379,0.876923,0.476522,0.000000,0.987362,0.058824,0.924559,0.000000,0.993701,0.909091,0.429253,0.541667,0.528169,0.750000,0.606013,0.000000,1.000000,0.000000,1.000000,0.115385,0.908795,0.380952,0.911147,0.000000,1.000000,0.000000,0.984252,1.000000,0.429467,0.000000,0.998423,0.000000,0.971246,0.909091,0.219396,0.000000,1.000000,0.833333,0.675079,0.000000,0.996860,0.000000,1.000000,0.142857,0.659128
2,1.329840,0.603950,0.453177,0.754722,1.336522,0.664939,0.515860,0.814019,0.749558,0.353755,0.970149,0.712121,0.836614,0.263158,0.883721,0.852941,0.802974,0.847826,0.242424,0.500000,0.917492,0.086957,0.961102,0.830769,0.709565,0.000000,1.000000,0.117647,0.918138,0.000000,1.000000,1.000000,0.313196,0.722222,0.269366,0.500000,0.960443,0.000000,1.000000,0.000000,0.996855,0.384615,0.750814,0.809524,0.806139,0.000000,1.000000,0.000000,0.996850,0.000000,0.996865,0.166667,0.992114,1.000000,0.645367,0.272727,0.852146,0.000000,1.000000,0.833333,0.522082,0.000000,0.959184,0.000000,1.000000,0.809524,0.315024
3,1.251610,0.693879,0.600613,0.787146,1.271264,0.705948,0.573456,0.838440,0.810245,0.448617,0.970149,0.666667,0.877953,0.578947,0.745847,0.794118,0.810409,0.782609,0.350168,0.970588,0.797030,0.695652,0.709887,0.892308,0.775652,0.000000,0.995261,0.176471,0.837881,0.000000,1.000000,1.000000,0.531002,0.583333,0.654930,0.625000,0.954114,0.000000,1.000000,0.250000,0.948113,0.423077,0.824104,1.000000,0.638126,0.000000,1.000000,1.000000,0.919685,1.000000,0.924765,0.166667,0.988959,0.928571,0.704473,0.272727,0.901431,0.200000,0.984252,1.000000,0.514196,0.000000,1.000000,0.000000,1.000000,0.047619,0.988691
4,1.102098,0.756361,0.700390,0.812332,1.162466,0.754644,0.695326,0.813962,0.833537,0.616601,0.977612,0.787879,0.830709,0.710526,0.825581,0.823529,0.819703,0.695652,0.582492,1.000000,0.858086,0.652174,0.745543,0.876923,0.834783,0.142857,0.930490,0.647059,0.796148,0.400000,0.727559,1.000000,0.631161,0.638889,0.558099,0.875000,0.878165,0.000000,0.998433,0.750000,0.893082,0.576923,0.565147,0.809524,0.848142,0.000000,1.000000,1.000000,0.861417,1.000000,0.811912,0.666667,0.899054,0.928571,0.867412,0.545454,0.839428,1.000000,0.828346,1.000000,0.670347,0.000000,0.946625,0.000000,0.990596,0.666667,0.668821
5,0.972369,0.783138,0.749164,0.817112,1.054005,0.789136,0.781302,0.796970,0.842128,0.786561,0.955224,0.848485,0.797244,0.921053,0.747508,0.715686,0.918216,0.760870,0.611111,1.000000,0.914191,0.782609,0.661264,0.876923,0.878261,0.714286,0.886256,0.882353,0.685393,0.800000,0.662992,1.000000,0.712242,0.583333,0.698944,0.875000,0.903481,0.500000,0.937304,0.750000,0.952830,0.384615,0.783388,0.857143,0.903069,0.000000,1.000000,1.000000,0.788976,1.000000,0.841693,0.833333,0.929022,1.000000,0.757188,0.636364,0.712242,1.000000,0.655118,0.833333,0.637224,0.333333,0.717425,0.500000,0.931034,0.619048,0.654281
6,0.893874,0.798424,0.757525,0.839323,1.120116,0.815428,0.787980,0.842875,0.851600,0.780632,0.970149,0.863636,0.787402,0.973684,0.785714,0.852941,0.840149,0.456522,0.826599,0.970588,0.902640,0.782609,0.748784,0.907692,0.874783,0.428571,0.884676,0.941176,0.643660,0.800000,0.828346,0.909091,0.813990,0.694444,0.551056,1.000000,0.935127,0.000000,0.973354,1.000000,0.905660,0.500000,0.767101,0.857143,0.870759,0.000000,1.000000,1.000000,0.859843,1.000000,0.909091,0.833333,0.821767,0.928571,0.827476,0.818182,0.761526,1.000000,0.859843,0.666667,0.780757,0.000000,0.985871,0.500000,0.976489,0.476190,0.798061
7,0.763719,0.826977,0.791806,0.862148,1.076923,0.830902,0.805509,0.856295,0.876531,0.822134,0.925373,0.878788,0.820866,0.973684,0.828904,0.745098,0.934944,0.739130,0.735690,1.000000,0.887789,0.826087,0.717990,0.923077,0.873043,0.714286,0.802528,0.941176,0.720706,0.800000,0.881890,0.909091,0.855326,0.652778,0.697183,1.000000,0.886076,0.000000,0.901254,1.000000,0.816038,0.500000,0.716612,0.809524,0.917609,0.000000,1.000000,0.800000,0.914961,1.000000,0.891850,0.833333,0.897476,0.928571,0.913738,0.636364,0.837838,1.000000,0.907087,0.666667,0.810726,0.000000,0.960754,0.500000,0.959248,0.380952,0.844911
8,0.684057,0.842050,0.797938,0.886163,1.117107,0.825515,0.756260,0.894770,0.875301,0.731225,1.000000,0.825758,0.883858,0.947368,0.895349,0.813725,0.884758,0.717391,0.632997,1.000000,0.929043,0.739130,0.870340,0.923077,0.883478,0.714286,0.846761,0.764706,0.858748,0.600000,0.957480,1.000000,0.904610,0.611111,0.730634,1.000000,0.935127,0.000000,0.960815,1.000000,0.959119,0.461538,0.757329,0.809524,0.935380,0.000000,0.988994,1.000000,0.933858,1.000000,0.912226,0.833333,0.955836,1.000000,0.931310,0.636364,0.872814,0.400000,0.955906,0.666667,0.869085,0.000000,0.927786,0.500000,0.965517,0.333333,0.848142
9,0.606683,0.854134,0.812430,0.895838,1.338795,0.824497,0.740401,0.908593,0.882408,0.766798,0.992537,0.780303,0.901575,0.921053,0.868771,0.705882,0.946097,0.521739,0.880471,1.000000,0.912541,0.782609,0.901135,0.846154,0.883478,0.428571,0.968404,0.705882,0.873194,0.200000,0.963780,1.000000,0.895072,0.555556,0.836268,1.000000,0.924051,0.000000,0.973354,1.000000,0.921384,0.461538,0.853420,0.857143,0.898223,0.000000,1.000000,1.000000,0.878740,1.000000,0.899687,0.833333,0.936909,1.000000,0.892971,0.363636,0.922099,0.800000,0.932283,0.500000,0.853312,0.333333,0.954474,0.000000,0.996865,0.523809,0.736672
