epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.306293,0.574840,0.525362,0.624319,1.345873,0.558416,0.505843,0.610990,0.534492,0.596838,0.238806,0.909091,0.293307,0.842105,0.302326,0.000000,0.968401,0.260870,0.797980,0.352941,0.953795,0.043478,0.797407,0.338462,0.895652,0.000000,0.963665,0.117647,0.906902,1.000000,0.111811,1.000000,0.106518,0.486111,0.457746,0.125000,0.610759,0.000000,0.985893,0.000000,1.000000,0.269231,0.685668,0.095238,0.966074,1.000000,0.503145,0.200000,0.880315,1.000000,0.211599,0.500000,0.400631,0.928571,0.659744,0.181818,0.729730,0.600000,0.365354,0.833333,0.228707,0.666666,0.427002,0.000000,0.302508,0.333333,0.710824
1,1.342417,0.622269,0.544872,0.699666,1.352606,0.696793,0.563439,0.830146,0.649395,0.460474,0.537313,0.863636,0.553150,0.578947,0.747508,0.676471,0.665428,0.565217,0.533670,1.000000,0.731023,0.347826,0.755267,0.784615,0.697391,0.000000,0.987362,0.352941,0.850722,0.000000,0.951181,0.545454,0.780604,0.902778,0.209507,0.625000,0.962025,0.000000,1.000000,0.000000,1.000000,0.076923,0.895765,0.761905,0.628433,0.000000,1.000000,0.000000,0.987402,0.000000,0.993730,0.000000,0.985804,0.928571,0.809904,0.000000,0.934817,0.000000,0.996850,0.500000,0.725552,0.000000,0.993721,0.000000,1.000000,0.095238,0.733441
2,1.314977,0.658619,0.547101,0.770137,1.254557,0.689991,0.581803,0.798180,0.771667,0.407115,0.985075,0.795455,0.734252,0.657895,0.696013,0.705882,0.873606,0.782609,0.294613,1.000000,0.805281,0.826087,0.546191,0.830769,0.791304,0.000000,0.984202,1.000000,0.359551,0.000000,0.993701,1.000000,0.626391,0.541667,0.676056,0.625000,0.958861,0.000000,1.000000,0.750000,0.896226,0.423077,0.695440,0.952381,0.785137,0.000000,1.000000,0.600000,0.894488,0.500000,0.924765,1.000000,0.690852,0.928571,0.704473,0.363636,0.928458,0.400000,0.894488,0.833333,0.706625,0.000000,0.951334,0.000000,1.000000,0.285714,0.822294
3,1.202532,0.720368,0.640747,0.799989,1.183003,0.707356,0.641068,0.773644,0.802295,0.535573,0.992537,0.795455,0.791339,0.815789,0.770764,0.686275,0.858736,0.543478,0.590909,1.000000,0.899340,0.652174,0.721232,0.815385,0.869565,0.142857,0.960506,0.705882,0.653291,1.000000,0.648819,1.000000,0.488076,0.597222,0.677817,0.750000,0.893987,0.000000,1.000000,0.750000,0.823899,0.500000,0.651466,1.000000,0.725363,0.000000,1.000000,0.600000,0.924409,1.000000,0.714734,0.833333,0.790221,0.928571,0.690096,0.818182,0.693164,0.800000,0.788976,1.000000,0.455836,0.000000,0.806907,0.000000,1.000000,0.333333,0.718901
4,1.106433,0.773294,0.725195,0.821393,1.189568,0.746923,0.703673,0.790174,0.811655,0.656126,0.985075,0.825758,0.818898,0.710526,0.828904,0.725490,0.871747,0.673913,0.653199,0.970588,0.899340,0.913043,0.620746,0.815385,0.907826,0.285714,0.837283,0.529412,0.749599,0.000000,0.922835,1.000000,0.484897,0.611111,0.748239,1.000000,0.729430,0.000000,1.000000,1.000000,0.811321,0.423077,0.768730,0.952381,0.715670,0.000000,1.000000,0.800000,0.850394,1.000000,0.583072,1.000000,0.791798,0.928571,0.811502,0.909091,0.577107,0.800000,0.847244,0.833333,0.646688,0.000000,0.952904,0.000000,0.990596,0.476190,0.668821
5,0.989408,0.788146,0.745262,0.831030,1.298156,0.763501,0.689482,0.837519,0.818128,0.667984,0.977612,0.848485,0.793307,0.763158,0.877076,0.784314,0.836431,0.500000,0.754209,0.941176,0.920792,0.782609,0.696921,0.707692,0.920000,0.142857,0.965245,0.588235,0.717496,0.200000,0.875591,1.000000,0.705882,0.541667,0.757042,1.000000,0.825949,0.000000,0.990596,0.750000,0.831761,0.153846,0.872964,0.952381,0.873990,0.000000,1.000000,0.800000,0.831496,1.000000,0.636364,0.833333,0.829653,0.928571,0.896166,0.636364,0.813990,0.600000,0.902362,0.666667,0.596215,0.333333,0.913658,0.500000,0.985893,0.523809,0.783522
6,0.874968,0.806005,0.762263,0.849747,1.230408,0.777798,0.691987,0.863610,0.844369,0.669960,1.000000,0.810606,0.864173,0.921053,0.867110,0.705882,0.942379,0.717391,0.552189,1.000000,0.894389,0.695652,0.811994,0.876923,0.897391,0.571428,0.829384,0.647059,0.807384,0.600000,0.867717,0.818182,0.817170,0.347222,0.901408,1.000000,0.963608,0.000000,0.993730,1.000000,0.885220,0.038462,0.972313,0.952381,0.768982,0.000000,1.000000,1.000000,0.801575,1.000000,0.923197,0.833333,0.917981,0.928571,0.838658,0.636364,0.756757,1.000000,0.875591,0.166667,0.854890,0.333333,0.813187,0.500000,0.987461,0.523809,0.739903
7,0.790169,0.826595,0.780658,0.872533,1.317345,0.807529,0.763773,0.851284,0.854643,0.743083,0.977612,0.840909,0.842520,0.973684,0.787375,0.745098,0.923792,0.739130,0.658249,1.000000,0.896040,0.782609,0.858995,0.846154,0.895652,0.428571,0.875197,0.588235,0.794543,0.800000,0.803150,1.000000,0.753577,0.597222,0.772887,1.000000,0.952532,0.000000,1.000000,1.000000,0.949686,0.538462,0.814332,0.952381,0.856220,0.000000,1.000000,1.000000,0.888189,1.000000,0.835423,1.000000,0.858044,0.928571,0.859425,0.636364,0.761526,0.800000,0.853543,0.666667,0.769716,1.000000,0.846154,0.500000,0.989028,0.571429,0.696284
8,0.722292,0.840735,0.797380,0.884090,1.387580,0.847915,0.833890,0.861940,0.841714,0.875494,0.753731,0.962121,0.690945,0.894737,0.848837,0.813725,0.884758,0.847826,0.520202,0.794118,0.945545,0.782609,0.821718,0.846154,0.904348,0.714286,0.813586,0.941176,0.648475,0.800000,0.855118,0.909091,0.874404,0.583333,0.750000,1.000000,0.965190,0.000000,0.982759,0.750000,0.952830,0.769231,0.636808,0.761905,0.964459,0.000000,0.995283,0.800000,0.960630,0.500000,0.989028,1.000000,0.958991,0.928571,0.912141,0.363636,0.806041,0.800000,0.977953,0.166667,0.922713,0.666666,0.805338,0.500000,0.951411,0.619048,0.746365
9,0.592228,0.860370,0.823021,0.897719,1.575939,0.835445,0.779633,0.891257,0.858236,0.784585,0.947761,0.886364,0.862205,1.000000,0.830565,0.715686,0.959108,0.739130,0.690236,1.000000,0.874587,0.913043,0.786062,0.938462,0.850435,0.285714,0.944708,0.764706,0.823435,0.400000,0.970079,1.000000,0.836248,0.666667,0.709507,1.000000,0.933544,0.000000,0.982759,0.750000,0.954403,0.653846,0.690554,0.857143,0.951535,0.000000,0.998428,0.800000,0.952756,1.000000,0.862069,0.833333,0.941640,0.714286,0.985623,0.363636,0.923688,0.800000,0.965354,0.500000,0.804416,0.000000,0.937206,0.500000,0.989028,0.190476,0.888530
