epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.306615,0.393143,0.252787,0.533498,1.350050,0.380527,0.231219,0.529835,0.478084,0.000000,1.000000,0.000000,0.996063,0.000000,1.000000,0.950980,0.014870,0.673913,0.271044,1.000000,0.052805,0.826087,0.183144,0.000000,1.000000,0.857143,0.243286,0.823529,0.455859,0.000000,1.000000,0.000000,0.974563,0.583333,0.380282,0.625000,0.318038,1.000000,0.043887,0.000000,0.822327,0.000000,0.970684,0.000000,0.974152,1.000000,0.311321,0.400000,0.702362,0.000000,0.178683,0.833333,0.201893,0.000000,0.988818,0.000000,0.987281,1.000000,0.064567,1.000000,0.059937,0.333333,0.714286,1.000000,0.012539,0.095238,0.883683
1,1.308702,0.535178,0.356466,0.713891,1.330876,0.592122,0.348915,0.835330,0.682000,0.112648,0.977612,0.856061,0.598425,0.026316,1.000000,0.794118,0.828996,0.652174,0.469697,0.911765,0.531353,0.217391,0.807131,0.200000,0.946087,0.000000,1.000000,0.647059,0.568218,0.000000,1.000000,0.454545,0.736089,0.458333,0.559859,1.000000,0.607595,0.000000,1.000000,0.250000,0.982704,0.038462,0.977199,0.619048,0.649435,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.333333,1.000000,0.285714,0.979233,0.090909,0.974563,0.400000,0.892913,1.000000,0.231861,0.000000,0.995290,0.000000,0.990596,0.000000,0.930533
2,1.274287,0.662947,0.499164,0.826730,1.258734,0.712745,0.571786,0.853703,0.786759,0.426877,0.977612,0.621212,0.879921,0.657895,0.667774,0.882353,0.795539,0.826087,0.372054,0.970588,0.747525,0.260870,0.889789,0.907692,0.657391,0.000000,0.998420,0.176471,0.913323,0.000000,0.993701,0.909091,0.639110,0.916667,0.283451,0.875000,0.916139,0.000000,1.000000,0.500000,0.952830,0.000000,0.975570,0.857143,0.789984,0.000000,1.000000,0.400000,0.973228,0.000000,1.000000,0.833333,0.943218,0.857143,0.878594,0.545454,0.907790,0.000000,0.996850,0.833333,0.586751,0.000000,1.000000,0.000000,1.000000,0.000000,0.995153
3,1.187824,0.733672,0.634894,0.832450,1.248881,0.779008,0.690317,0.867700,0.826182,0.693676,0.970149,0.818182,0.738189,0.631579,0.870432,0.941176,0.644981,0.021739,0.959596,1.000000,0.909241,0.695652,0.695300,0.861538,0.834783,0.000000,0.993681,0.705882,0.725522,0.200000,0.866142,0.545454,0.879173,0.777778,0.417254,0.875000,0.856013,0.000000,1.000000,1.000000,0.871069,0.000000,0.957655,0.761905,0.957997,0.000000,1.000000,0.400000,0.922835,1.000000,0.876176,0.666667,0.914826,0.928571,0.886581,0.545454,0.864865,0.600000,0.921260,0.500000,0.689274,0.000000,1.000000,0.000000,1.000000,0.285714,0.915994
4,1.063198,0.780436,0.741360,0.819512,1.105890,0.796754,0.780467,0.813040,0.842749,0.810277,0.955224,0.863636,0.820866,0.947368,0.621262,0.823529,0.788104,0.565217,0.577441,1.000000,0.904290,0.913043,0.612642,0.830769,0.831304,0.714286,0.750395,0.882353,0.626003,0.800000,0.822047,0.818182,0.872814,0.513889,0.795775,0.875000,0.863924,0.000000,0.995298,1.000000,0.787736,0.192308,0.791531,0.952381,0.880452,0.000000,1.000000,1.000000,0.866142,0.000000,0.996865,1.000000,0.719243,1.000000,0.785942,0.818182,0.767886,1.000000,0.559055,0.000000,0.987382,0.000000,0.978022,0.500000,0.841693,0.476190,0.857835
5,0.919140,0.798485,0.756132,0.840839,1.053420,0.791958,0.784641,0.799274,0.856048,0.814229,0.888060,0.856061,0.814961,1.000000,0.700997,0.431373,0.996283,0.760870,0.567340,1.000000,0.907591,0.956522,0.445705,0.784615,0.885217,0.428571,0.939968,0.941176,0.666132,1.000000,0.771654,1.000000,0.764706,0.638889,0.667254,1.000000,0.816456,0.000000,0.931034,1.000000,0.891509,0.730769,0.558632,0.952381,0.849758,0.000000,0.995283,1.000000,0.817323,1.000000,0.876176,1.000000,0.829653,1.000000,0.750799,0.909091,0.683625,1.000000,0.864567,0.500000,0.774448,0.333333,0.866562,0.500000,0.965517,0.571429,0.749596
6,0.843727,0.817494,0.770346,0.864643,1.065609,0.825670,0.772120,0.879219,0.876084,0.772727,0.992537,0.863636,0.856299,0.921053,0.817276,0.813725,0.912639,0.608696,0.791246,1.000000,0.914191,0.695652,0.836305,0.784615,0.895652,0.714286,0.870458,0.941176,0.717496,0.600000,0.913386,0.909091,0.839428,0.638889,0.713028,0.750000,0.943038,0.000000,0.954545,1.000000,0.919811,0.307692,0.796417,0.952381,0.909532,0.000000,0.992138,0.800000,0.900787,1.000000,0.965517,1.000000,0.970032,0.857143,0.902556,0.818182,0.799682,1.000000,0.921260,0.666667,0.875394,0.333333,0.973312,0.500000,0.918495,0.523809,0.739903
7,0.694167,0.834053,0.787625,0.880481,1.193949,0.841912,0.773790,0.910033,0.899732,0.784585,0.985075,0.871212,0.838583,0.921053,0.855482,0.725490,0.925651,0.739130,0.707071,1.000000,0.925743,0.782609,0.883306,0.892308,0.857391,0.142857,0.988942,0.647059,0.921348,0.800000,0.916535,0.909091,0.896661,0.694444,0.658451,1.000000,0.930380,0.000000,1.000000,0.250000,0.996855,0.461538,0.825733,0.714286,0.964459,0.000000,0.995283,0.800000,0.959055,1.000000,0.982759,1.000000,0.954259,1.000000,0.916933,0.909091,0.860095,1.000000,0.913386,0.666667,0.843849,0.000000,0.998430,0.500000,0.979624,0.190476,0.906300
8,0.604961,0.858616,0.819398,0.897835,1.354402,0.843870,0.772120,0.915620,0.901053,0.756917,0.985075,0.871212,0.874016,0.921053,0.873754,0.892157,0.866171,0.934783,0.577441,0.941176,0.950495,0.782609,0.871961,0.800000,0.899130,0.285714,0.988942,0.705882,0.834671,0.800000,0.905512,1.000000,0.888712,0.666667,0.804577,0.875000,0.974684,0.000000,0.981191,0.750000,0.995283,0.269231,0.941368,0.857143,0.956381,0.000000,0.995283,0.800000,0.962205,1.000000,0.946708,1.000000,0.984227,1.000000,0.912141,0.727273,0.895072,1.000000,0.883465,0.333333,0.921136,0.000000,0.996860,0.000000,0.989028,0.142857,0.898223
9,0.528918,0.873262,0.832219,0.914305,1.490670,0.857431,0.785476,0.929386,0.912234,0.820158,0.962687,0.840909,0.899606,0.868421,0.878738,0.813725,0.918216,0.586957,0.870370,1.000000,0.925743,0.652174,0.875203,0.846154,0.911304,0.142857,0.984202,0.588235,0.966292,0.600000,0.910236,0.909091,0.944356,0.736111,0.713028,0.875000,0.968354,0.000000,1.000000,0.250000,1.000000,0.653846,0.884365,0.809524,0.943457,0.000000,0.995283,0.800000,0.955906,1.000000,0.945141,1.000000,0.981073,1.000000,0.849840,0.545454,0.960254,1.000000,0.916535,0.500000,0.938486,0.000000,0.996860,0.000000,0.992163,0.428571,0.846527
