epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
0,1.385836,0.534059,0.642698,0.425420,1.421873,0.546625,0.664441,0.428810,0.485532,0.681818,0.500000,1.000000,0.003937,0.000000,0.973422,0.019608,0.992565,1.000000,0.013468,0.970588,0.042904,0.826087,0.293355,0.984615,0.020870,1.000000,0.143760,1.000000,0.000000,1.000000,0.014173,0.000000,1.000000,0.791667,0.195423,0.500000,0.606013,0.000000,0.992163,0.000000,1.000000,0.961538,0.089577,0.714286,0.457189,0.250000,0.507862,1.000000,0.300787,0.000000,0.586207,1.000000,0.000000,0.000000,0.963259,0.272727,0.577107,0.000000,0.918110,0.166667,0.399054,1.000000,0.075353,1.000000,0.007837,0.190476,0.736672
1,1.428365,0.546660,0.488852,0.604469,1.425542,0.586421,0.401503,0.771340,0.590794,0.138340,0.902985,0.969697,0.198819,0.473684,0.460133,0.607843,0.897770,0.956522,0.121212,0.352941,0.889439,1.000000,0.050243,1.000000,0.153043,0.142857,0.905213,0.941176,0.030498,0.000000,0.965354,0.000000,0.985692,0.138889,0.860915,0.000000,0.947785,0.000000,1.000000,0.000000,1.000000,0.153846,0.900651,0.666667,0.886914,0.000000,1.000000,0.800000,0.861417,0.000000,1.000000,0.000000,1.000000,0.571429,0.490415,0.181818,0.767886,0.000000,0.990551,0.000000,0.996845,0.000000,1.000000,0.000000,0.996865,0.000000,0.988691
2,1.468975,0.583546,0.494147,0.672944,1.368043,0.723602,0.683639,0.763564,0.672031,0.806324,0.634328,0.257576,0.818898,0.368421,0.719269,0.774510,0.801115,1.000000,0.070707,0.794118,0.853135,0.956522,0.141005,0.923077,0.601739,0.000000,0.925750,0.058824,0.911717,0.000000,0.988976,1.000000,0.189189,0.986111,0.051056,0.500000,0.911392,0.000000,1.000000,0.250000,0.902516,0.076923,0.845277,0.857143,0.804523,0.000000,1.000000,0.200000,0.927559,0.000000,0.927900,0.500000,0.872240,1.000000,0.309904,0.272727,0.823529,0.000000,1.000000,0.000000,1.000000,0.000000,0.908948,0.000000,1.000000,0.000000,0.964459
3,1.392372,0.594515,0.475753,0.713277,1.343024,0.581617,0.383139,0.780094,0.712839,0.100791,1.000000,0.992424,0.047244,0.710526,0.589701,0.323529,0.985130,0.913043,0.158249,1.000000,0.572607,0.130435,0.897893,0.430769,0.914783,0.000000,0.965245,0.411765,0.760835,1.000000,0.540157,1.000000,0.473768,0.527778,0.438380,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.952381,0.537964,0.000000,1.000000,0.400000,0.949606,0.000000,0.863636,0.500000,0.962145,0.142857,0.968051,0.181818,0.891892,0.000000,1.000000,0.000000,0.981073,0.000000,1.000000,0.000000,1.000000,0.952381,0.085622
4,1.383052,0.640244,0.540412,0.740075,1.256303,0.709334,0.730384,0.688285,0.732498,0.660079,0.910448,0.848485,0.588583,0.789474,0.543189,0.882353,0.618959,0.739130,0.429293,1.000000,0.414191,0.956522,0.410049,0.923077,0.502609,0.285714,0.603476,0.647059,0.597111,0.000000,0.919685,1.000000,0.535771,0.986111,0.047535,0.750000,0.612342,0.000000,1.000000,0.750000,0.603774,0.000000,0.998371,0.857143,0.699515,0.000000,1.000000,0.800000,0.713386,1.000000,0.470219,0.833333,0.815457,0.571429,0.785942,0.000000,0.928458,0.000000,0.984252,0.833333,0.627760,0.000000,0.996860,0.000000,1.000000,0.619048,0.623586
5,1.263601,0.700840,0.656076,0.745604,1.211520,0.732336,0.762104,0.702569,0.758871,0.701581,0.895522,0.840909,0.653543,0.868421,0.435216,0.882353,0.553903,0.456522,0.585859,1.000000,0.628713,0.782609,0.589951,0.876923,0.695652,0.000000,0.952607,0.764706,0.515249,0.600000,0.611024,0.909091,0.612083,0.916667,0.207746,0.750000,0.865506,0.000000,1.000000,0.750000,0.665094,0.769231,0.385993,0.857143,0.885299,0.000000,1.000000,1.000000,0.815748,0.000000,0.978056,1.000000,0.678233,0.928571,0.766773,0.272727,0.918919,1.000000,0.458268,0.833333,0.536278,0.000000,1.000000,0.000000,0.998433,0.857143,0.507270
6,1.175124,0.729059,0.671683,0.786436,1.214654,0.776838,0.730384,0.823292,0.816072,0.707510,0.940299,0.893939,0.718504,0.815789,0.601329,0.882353,0.702602,0.413043,0.619529,1.000000,0.889439,0.521739,0.893031,0.861538,0.888696,0.142857,0.982622,0.705882,0.712681,0.000000,0.960630,0.818182,0.799682,0.625000,0.677817,1.000000,0.906646,0.000000,0.968652,0.750000,0.808176,0.346154,0.741042,0.857143,0.899838,0.000000,0.998428,0.800000,0.924409,1.000000,0.625392,0.666667,0.888013,0.857143,0.918530,0.727273,0.786963,0.800000,0.776378,0.500000,0.703470,0.000000,0.982732,0.000000,0.996865,0.714286,0.578352
7,1.102850,0.770997,0.728818,0.813177,1.176324,0.777433,0.824708,0.730158,0.814142,0.879447,0.731343,0.765152,0.793307,0.947368,0.438538,0.696078,0.750929,0.804348,0.555556,1.000000,0.678218,0.782609,0.670989,1.000000,0.702609,0.142857,0.775671,0.823529,0.666132,0.800000,0.744882,0.909091,0.693164,0.694444,0.625000,1.000000,0.761076,0.000000,0.993730,1.000000,0.761006,0.538462,0.496743,0.952381,0.731826,0.000000,0.993711,0.800000,0.685039,0.000000,0.888715,0.833333,0.736593,1.000000,0.734824,0.818182,0.634340,1.000000,0.943307,0.333333,0.697161,0.000000,0.967033,0.500000,0.744514,0.761905,0.533118
8,0.992238,0.784836,0.724916,0.844755,1.211763,0.747437,0.666110,0.828764,0.834930,0.521739,1.000000,0.765152,0.862205,0.763158,0.755814,0.823529,0.843866,0.782609,0.498316,1.000000,0.897690,0.478261,0.907618,0.892308,0.880000,0.142857,0.943128,0.705882,0.860353,0.400000,0.930709,0.636364,0.852146,0.958333,0.241197,0.625000,0.969937,0.000000,0.990596,0.750000,0.966981,0.884615,0.312704,0.857143,0.941842,0.000000,0.977987,1.000000,0.938583,1.000000,0.777429,0.666667,0.944795,0.928571,0.953674,0.363636,0.918919,0.800000,0.896063,0.833333,0.432177,0.333333,0.843014,0.000000,0.945141,0.142857,0.806139
9,0.956726,0.802234,0.757525,0.846944,1.217407,0.807184,0.758765,0.855604,0.847140,0.782609,0.895522,0.886364,0.728346,0.921053,0.803987,0.725490,0.920074,0.500000,0.708754,0.970588,0.907591,0.826087,0.578606,0.892308,0.895652,0.142857,0.895735,0.882353,0.751204,0.600000,0.963780,0.727273,0.918919,0.680556,0.552817,1.000000,0.856013,0.000000,0.995298,1.000000,0.688679,0.423077,0.695440,0.809524,0.961228,0.000000,0.921384,0.800000,0.948031,1.000000,0.844828,1.000000,0.888013,0.857143,0.894569,0.272727,0.917329,0.800000,0.932283,0.000000,0.921136,0.333333,0.954474,0.500000,0.970219,0.238095,0.869144
