epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_CWS,val_spec_CWS,val_sens_CB,val_spec_CB,val_sens_ODPM,val_spec_ODPM,val_sens_PRH,val_spec_PRH,val_sens_MNF,val_spec_MNF,val_sens_HR,val_spec_HR,val_sens_CRAO,val_spec_CRAO,val_sens_TD,val_spec_TD,val_sens_CME,val_spec_CME,val_sens_PTCR,val_spec_PTCR,val_sens_CF,val_spec_CF,val_sens_VH,val_spec_VH,val_sens_MCA,val_spec_MCA,val_sens_VS,val_spec_VS,val_sens_BRAO,val_spec_BRAO,val_sens_PLQ,val_spec_PLQ,val_sens_HPED,val_spec_HPED,val_sens_CL,val_spec_CL
0,0.687488,0.482747,0.371497,0.593997,0.688869,0.470393,0.340761,0.600025,nan,0.000000,0.700000,0.000000,1.000000,0.000000,0.990298,0.069792,0.940709,0.019583,0.862183,0.240178,0.528658,0.375000,0.011146,0.415238,0.335920,0.125000,0.272485,0.000000,1.000000,0.000000,0.854479,0.000000,1.000000,0.750000,0.000000,0.175000,0.000000,0.012500,0.405357,0.000000,0.768914,0.020833,0.945264,0.000000,0.985045,0.025000,0.260193,0.000000,1.000000,0.000000,0.860937,0.000000,1.000000,0.043056,0.417887,0.175000,0.000000,0.050000,0.278229,0.100000,0.000000,0.000000,0.924375,0.000000,0.899792,0.000000,0.992187,0.000000,0.954687,0.050000,0.112917,0.000000,0.237708,0.000000,0.682812,0.000000,0.000000,0.025000,0.640625,0.050000,0.000000,0.000000,1.000000,0.000000,1.000000,0.050000,0.004687,0.000000,0.970312,0.000000,0.790625,0.000000,0.998437,0.050000,0.009583,0.000000,0.868750,0.000000,0.017187,0.000000,0.904687
1,0.241606,0.691909,0.430811,0.953008,0.099309,0.565353,0.145924,0.984783,nan,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
2,0.101501,0.704136,0.413266,0.995005,0.091219,0.565353,0.145924,0.984783,nan,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
3,0.093246,0.714612,0.433815,0.995408,0.085476,0.565799,0.144722,0.986875,nan,0.972817,0.098214,0.000000,1.000000,0.000000,1.000000,0.071548,0.998077,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
4,0.088458,0.727714,0.459865,0.995564,0.080438,0.579917,0.169400,0.990434,nan,0.935949,0.280597,0.127520,0.993910,0.000000,1.000000,0.246131,0.985820,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
5,0.083459,0.742575,0.489175,0.995974,0.076576,0.595838,0.200684,0.990991,nan,0.922865,0.340854,0.375456,0.969064,0.000000,1.000000,0.309494,0.976445,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
6,0.079452,0.753917,0.512025,0.995810,0.073432,0.603481,0.213941,0.993021,nan,0.898641,0.456158,0.420337,0.958606,0.000000,1.000000,0.359107,0.978007,0.000000,1.000000,0.011905,1.000000,0.000000,1.000000,0.021250,0.987139,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
7,0.075899,0.765439,0.535142,0.995737,0.071997,0.609412,0.231262,0.987561,nan,0.929338,0.219895,0.424504,0.958606,0.000000,1.000000,0.399524,0.969257,0.000000,1.000000,0.049107,0.995208,0.000000,1.000000,0.032917,0.985937,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.011111,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
8,0.072966,0.770839,0.545765,0.995913,0.070109,0.612942,0.233015,0.992869,nan,0.880348,0.468819,0.425754,0.964719,0.000000,1.000000,0.363423,0.984271,0.000000,1.000000,0.114881,0.982604,0.000000,1.000000,0.064583,0.984014,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.047222,0.988713,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
9,0.070663,0.775006,0.553970,0.996042,0.068759,0.617993,0.243910,0.992077,nan,0.874991,0.470742,0.491885,0.936063,0.000000,1.000000,0.359256,0.985833,0.000000,1.000000,0.114881,0.981042,0.000000,1.000000,0.123333,0.972869,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.037500,0.990499,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
